code,name,start_date,end_date,days,p_change
000982,*ST 中绒,2019-11-15,2019-11-14,1,0
002332,仙琚制药,2019-11-15,2019-11-14,1,0
002556,辉隆股份,2019-11-15,2019-11-14,1,0
002575,群兴玩具,2019-11-15,2019-11-14,1,0
002773,康弘药业,2019-11-15,2019-11-14,1,0
002800,天顺股份,2019-11-15,2019-11-14,1,0
002870,香山股份,2019-11-15,2019-11-14,1,0
600289,*ST信通,2019-11-15,2019-11-14,1,0
600634,*ST富控,2019-11-15,2019-11-14,1,0
601011,宝泰隆,2019-11-15,2019-11-14,1,0
601558,ST锐电,2019-11-15,2019-11-14,1,0
603866,桃李面包,2019-11-15,2019-11-14,1,0
002502,鼎龙文化,2019-11-14,2019-11-13,2,0
002847,盐津铺子,2019-11-14,2019-11-13,2,0
002870,香山股份,2019-11-14,2019-11-13,2,0
002876,三利谱,2019-11-14,2019-11-13,2,0
600086,东方金钰,2019-11-14,2019-11-13,2,0
600592,龙溪股份,2019-11-14,2019-11-13,2,0
603366,日出东方,2019-11-14,2019-11-13,2,0
603679,华体科技,2019-11-15,2019-11-14,2,0
603866,桃李面包,2019-11-14,2019-11-13,2,0
603886,元祖股份,2019-11-15,2019-11-14,2,0
