code,name,start_date,end_date,days,p_change
000661,长春高新,2019-11-01,0,1,0
000892,欢瑞世纪,2019-11-01,0,1,0
000951,中国重汽,2019-11-01,0,1,0
000982,*ST 中绒,2019-11-01,0,1,0
芯片 ### 002028,思源电气,2019-11-01,0,1,0
##  002035,华帝股份,2019-11-01,0,1,0
智能音箱 ### 002045,国光电器,2019-11-01,0,1,0
002156,通富微电,2019-11-01,0,1,0
# 002301,齐心集团,2019-11-01,0,1,0
鸡尾酒 ##  002568,百润股份,2019-11-01,0,1,0
002577,雷柏科技,2019-11-01,0,1,0
002901,大博医疗,2019-11-01,0,1,0
002908,德生科技,2019-11-01,0,1,0
600070,浙江富润,2019-11-01,0,1,0
600216,浙江医药,2019-11-01,0,1,0
600779,水井坊,2019-11-01,0,1,0
601799,星宇股份,2019-11-01,0,1,0
603259,药明康德,2019-11-01,0,1,0
## 603367,辰欣药业,2019-11-01,0,1,0
603986,兆易创新,2019-11-01,0,1,0
