code,name,start_date,end_date,days,p_change,p1,p2,p3
NLS,"Nautilus, Inc.",2020-01-17,0,100,0,30,0,0
NVDA,NVIDIA Corp.,2020-01-17,0,100,0,30,0,0
OKE,"ONEOK, Inc.",2020-01-17,0,100,0,30,0,0
FANG,"Diamondback Energy, Inc.",2020-01-17,0,100,0,30,0,0
REZI,"Resideo Technologies, Inc.",2020-01-17,0,100,0,30,0,0
CFX,Colfax Corp.,2020-01-17,0,100,0,30,0,0
EMR,Emerson Electric Co.,2020-01-17,0,100,0,30,0,0
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,2020-01-17,0,100,0,30,0,0
CDW,CDW Corp.,2020-01-17,0,100,0,30,0,0
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",2020-01-17,0,100,0,30,0,0
NBR,Nabors Industries Ltd.,2020-01-17,0,100,0,30,0,0
IJR,iShares Core S&P Small Cap ETF,2020-01-17,0,100,0,30,0,0
ZAYO,"Zayo Group Holdings, Inc.",2020-01-17,0,100,0,30,0,0
MBOT,"Microbot Medical, Inc.",2020-01-17,0,100,0,30,0,0
FLDM,Fluidigm Corp.,2020-01-17,0,100,0,30,0,0
RHI,"Robert Half International, Inc.",2020-01-17,0,100,0,30,0,0
DVN,Devon Energy Corp.,2020-01-17,0,100,0,30,0,0
CHWY,"Chewy, Inc.",2020-01-17,0,100,0,30,0,0
AZRX,"AzurRx BioPharma, Inc.",2020-01-17,0,100,0,30,0,0
ON,ON Semiconductor Corp.,2020-01-17,0,100,0,30,0,0
NAT,Nordic American Tankers Ltd.,2020-01-17,0,100,0,30,0,0
LVS,Las Vegas Sands Corp.,2020-01-17,0,100,0,30,0,0
NXPI,NXP Semiconductors NV,2020-01-17,0,100,0,30,0,0
VSH,"Vishay Intertechnology, Inc.",2020-01-17,0,100,0,30,0,0
UNIT,"Uniti Group, Inc.",2020-01-17,0,100,0,30,0,0
MCHP,"Microchip Technology, Inc.",2020-01-17,0,100,0,30,0,0
SCCO,Southern Copper Corp.,2020-01-17,0,100,0,30,0,0
RTIX,"RTI Surgical Holdings, Inc.",2020-01-17,0,100,0,30,0,0
WMB,"The Williams Cos., Inc.",2020-01-17,0,100,0,29,0,0
JNK,SPDR Bloomberg Barclays High Yield Bond ETF,2020-01-17,0,100,0,29,0,0
OR,Osisko Gold Royalties Ltd.,2020-01-17,0,100,0,29,0,0
BIG,"Big Lots, Inc.",2020-01-17,0,100,0,29,0,0
GLNG,Golar LNG Ltd.,2020-01-17,0,100,0,29,0,0
UMPQ,Umpqua Holdings Corp.,2020-01-17,0,100,0,29,0,0
ERJ,Embraer SA,2020-01-17,0,100,0,29,0,0
FPRX,"Five Prime Therapeutics, Inc.",2020-01-17,0,100,0,29,0,0
TER,"Teradyne, Inc.",2020-01-17,0,100,0,29,0,0
AERI,"Aerie Pharmaceuticals, Inc.",2020-01-17,0,100,0,29,0,0
VALE,Vale SA,2020-01-17,0,100,0,29,0,0
ITCI,"Intra-Cellular Therapies, Inc.",2020-01-17,0,100,0,29,0,0
ONCY,"Oncolytics Biotech, Inc.",2020-01-17,0,100,0,29,0,0
TGE,Tallgrass Energy LP,2020-01-17,0,100,0,29,0,0
EWZ,iShares MSCI Brazil Capped ETF,2020-01-17,0,100,0,29,0,0
VAL,Valaris Plc,2020-01-17,0,100,0,29,0,0
EMLP,First Trust North American Energy Infrastructure Fund,2020-01-17,0,100,0,29,0,0
USHY,iShares Broad USD High Yield Corporate Bond ETF,2020-01-17,0,100,0,29,0,0
YPF,YPF SA,2020-01-17,0,100,0,29,0,0
FTV,Fortive Corp.,2020-01-17,0,100,0,29,0,0
CDEV,"Centennial Resource Development, Inc.",2020-01-17,0,100,0,29,0,0
ZTS,"Zoetis, Inc.",2020-01-17,0,100,0,29,0,0
WBC,"WABCO Holdings, Inc.",2020-01-17,0,100,0,29,0,0
ATVI,"Activision Blizzard, Inc.",2020-01-17,0,100,0,29,0,0
RIG,Transocean Ltd.,2020-01-17,0,100,0,29,0,0
WEC,"WEC Energy Group, Inc.",2020-01-17,0,100,0,29,0,0
AMBC,"Ambac Financial Group, Inc.",2020-01-17,0,100,0,29,0,0
NI,"NiSource, Inc.",2020-01-17,0,100,0,29,0,0
RIO,Rio Tinto Plc,2020-01-17,0,100,0,28,0,0
CBD,Companhia Brasileira de Distribuicao,2020-01-17,0,100,0,28,0,0
LEVI,Levi Strauss & Co.,2020-01-17,0,100,0,28,0,0
CROX,"Crocs, Inc.",2020-01-17,0,100,0,28,0,0
TGTX,"TG Therapeutics, Inc.",2020-01-17,0,100,0,28,0,0
RVLV,"Revolve Group, Inc.",2020-01-17,0,100,0,28,0,0
DO,"Diamond Offshore Drilling, Inc.",2020-01-17,0,100,0,28,0,0
CCL,Carnival Corp.,2020-01-17,0,100,0,28,0,0
MUR,Murphy Oil Corp.,2020-01-17,0,100,0,28,0,0
IAU,iShares Gold Trust,2020-01-17,0,100,0,28,0,0
GTE,"Gran Tierra Energy, Inc.",2020-01-17,0,100,0,28,0,0
NWSA,News Corp.,2020-01-17,0,100,0,28,0,0
GLDM,SPDR Gold MiniShares Trust,2020-01-17,0,100,0,28,0,0
EPD,Enterprise Products Partners LP,2020-01-17,0,100,0,28,0,0
FATE,"Fate Therapeutics, Inc.",2020-01-17,0,100,0,28,0,0
MBT,Mobile TeleSystems PJSC,2020-01-17,0,100,0,28,0,0
WTI,"W&T Offshore, Inc.",2020-01-17,0,100,0,28,0,0
SUPV,Grupo Supervielle SA,2020-01-17,0,100,0,28,0,0
INFY,Infosys Ltd.,2020-01-17,0,100,0,28,0,0
IXUS,ishares Core MSCI Total International Stock ETF,2020-01-17,0,100,0,27,0,0
PXD,Pioneer Natural Resources Co.,2020-01-17,0,100,0,27,0,0
MMP,Magellan Midstream Partners LP,2020-01-17,0,100,0,27,0,0
BLUE,"bluebird bio, Inc.",2020-01-17,0,100,0,27,0,0
CFRX,ContraFect Corp.,2020-01-17,0,100,0,27,0,0
MNKD,MannKind Corp.,2020-01-17,0,100,0,27,0,0
DVY,iShares Select Dividend ETF,2020-01-17,0,100,0,27,0,0
INO,"Inovio Pharmaceuticals, Inc.",2020-01-17,0,100,0,27,0,0
ACWX,iShares MSCI ACWI ex U.S. ETF,2020-01-17,0,100,0,27,0,0
MLPA,Global X MLP ETF,2020-01-17,0,100,0,27,0,0
DUK,Duke Energy Corp.,2020-01-17,0,100,0,27,0,0
MLPI,ETRACS Alerian MLP Infrastructure Index ETN,2020-01-17,0,100,0,27,0,0
GS,"The Goldman Sachs Group, Inc.",2020-01-17,0,100,0,27,0,0
ET,Energy Transfer LP,2020-01-17,0,100,0,27,0,0
MTDR,Matador Resources Co.,2020-01-17,0,100,0,27,0,0
HYLB,Xtrackers USD High Yield Corporate Bond ETF,2020-01-17,0,100,0,27,0,0
THO,"Thor Industries, Inc.",2020-01-17,0,100,0,27,0,0
CTXR,"Citius Pharmaceuticals, Inc.",2020-01-17,0,100,0,27,0,0
VXUS,Vanguard Total International Stock Index Fund,2020-01-17,0,100,0,27,0,0
SMH,VanEck Vectors Semiconductor ETF,2020-01-17,0,100,0,27,0,0
FPE,First Trust Preferred Securities & Income ETF,2020-01-17,0,100,0,27,0,0
