code,name,start_date,end_date,days,p_change
002892,科力尔,2019-11-01,2019-10-25,4,0
603318,派思股份,2019-11-08,2019-11-01,4,0
603787,新日股份,2019-11-08,2019-11-01,4,0
603603,博天环境,2019-11-01,2019-10-25,4,0
601595,上海电影,2019-10-18,2019-10-11,4,0
002486,嘉麟杰,2019-11-01,2019-10-25,4,0
600242,中昌数据,2019-11-01,2019-10-25,4,0
002786,银宝山新,2019-11-08,2019-11-01,4,0
600122,宏图高科,2019-11-01,2019-10-25,4,0
002902,铭普光磁,2019-11-01,2019-10-25,4,0
603936,博敏电子,2019-10-25,2019-10-18,4,0
600004,白云机场,2019-11-08,2019-11-01,4,0
603738,泰晶科技,2019-10-18,2019-10-11,4,0
000636,风华高科,2019-11-01,2019-10-25,4,0
002456,欧菲光,2019-11-08,2019-11-01,4,0
002905,金逸影视,2019-11-01,2019-10-25,4,0
002169,智光电气,2019-11-08,2019-11-01,4,0
002819,东方中科,2019-11-08,2019-11-01,4,0
600183,生益科技,2019-11-01,2019-10-25,4,0
000038,深大通,2019-10-18,2019-10-11,4,0
002756,永兴材料,2019-11-08,2019-11-01,4,0
603160,汇顶科技,2019-11-01,2019-10-25,4,0
603666,亿嘉和,2019-11-01,2019-10-25,4,0
600592,龙溪股份,2019-10-18,2019-10-11,4,0
002668,奥马电器,2019-11-08,2019-11-01,4,0
603799,华友钴业,2019-10-25,2019-10-18,4,0
603060,国检集团,2019-11-08,2019-11-01,4,0
000799,酒鬼酒,2019-11-08,2019-11-01,4,0
000409,*ST地矿,2019-11-01,2019-10-25,4,0
603118,共进股份,2019-11-01,2019-10-25,4,0
600845,宝信软件,2019-11-01,2019-10-25,4,0
600882,妙可蓝多,2019-11-01,2019-10-25,4,0
002583,海能达,2019-10-25,2019-10-18,4,0
002463,沪电股份,2019-11-01,2019-10-25,4,0
600867,通化东宝,2019-10-25,2019-10-18,4,0
600732,ST新梅,2019-10-18,2019-10-11,4,0
002481,双塔食品,2019-10-18,2019-10-11,4,0
002409,雅克科技,2019-11-01,2019-10-25,4,0
002379,宏创控股,2019-10-25,2019-10-18,4,0
603136,天目湖,2019-11-01,2019-10-25,4,0
603180,金牌厨柜,2019-11-08,2019-11-01,4,0
002660,茂硕电源,2019-11-08,2019-11-01,4,0
002850,科达利,2019-11-01,2019-10-25,4,0
600081,东风科技,2019-10-25,2019-10-18,4,0
603233,大参林,2019-11-08,2019-11-01,4,0
002617,露笑科技,2019-10-25,2019-10-18,4,0
600095,哈高科,2019-10-25,2019-10-18,4,0
601058,赛轮轮胎,2019-11-01,2019-10-25,4,0
601231,环旭电子,2019-11-01,2019-10-25,4,0
603300,华铁科技,2019-11-01,2019-10-25,4,0
002129,中环股份,2019-11-01,2019-10-25,4,0
603328,依顿电子,2019-10-18,2019-10-11,4,0
603881,数据港,2019-10-18,2019-10-11,4,0
002119,康强电子,2019-10-18,2019-10-11,4,0
601137,博威合金,2019-10-25,2019-10-18,4,0
000048,*ST康达,2019-11-08,2019-11-01,4,0
603986,兆易创新,2019-11-01,2019-10-25,4,0
002855,捷荣技术,2019-10-25,2019-10-18,4,0
603606,东方电缆,2019-11-01,2019-10-25,4,0
002414,高德红外,2019-11-01,2019-10-25,4,0
600146,商赢环球,2019-11-08,2019-11-01,4,0
002636,金安国纪,2019-10-25,2019-10-18,4,0
002194,武汉凡谷,2019-11-08,2019-11-01,4,0
002531,天顺风能,2019-11-01,2019-10-25,4,0
