code,name,start_date,end_date,days,p_change
603283,赛腾股份,2019-08-30,2019-08-02,5,-33.131615
002468,申通快递,2019-08-16,2019-08-09,2,-28.446844
002412,汉森制药,2019-08-30,2019-08-09,4,-27.652730000000002
600281,太化股份,2019-08-30,2019-08-02,5,-23.840968999999998
000918,嘉凯城,2019-08-23,2019-08-09,3,-22.656645
000038,深大通,2019-08-09,2019-08-02,2,-22.186993
603727,博迈科,2019-08-30,2019-08-09,4,-21.991891000000003
002915,中欣氟材,2019-08-09,2019-08-02,2,-20.844124
002868,绿康生化,2019-08-30,2019-08-16,3,-20.335199
603338,浙江鼎力,2019-08-30,2019-08-30,1,-19.480309999999996
603360,百傲化学,2019-08-23,2019-08-09,3,-19.378141
600119,*ST长投,2019-08-30,2019-08-09,4,-17.775506999999998
603933,睿能科技,2019-08-30,2019-08-09,4,-17.284075
000408,藏格控股,2019-08-30,2019-08-16,3,-16.961841
603508,思维列控,2019-08-30,2019-08-02,5,-16.861611
603986,兆易创新,2019-08-09,2019-08-09,1,-16.226273
600593,大连圣亚,2019-08-09,2019-08-02,2,-16.191439000000003
600975,新五丰,2019-08-23,2019-08-09,3,-16.096628000000003
002157,正邦科技,2019-08-16,2019-08-02,3,-16.045102
000157,中联重科,2019-08-30,2019-08-09,4,-15.009445000000001
600288,大恒科技,2019-08-09,2019-08-02,2,-14.483024
600446,金证股份,2019-08-09,2019-08-02,2,-14.438053999999998
002236,大华股份,2019-08-09,2019-08-09,1,-13.908411000000001
600984,建设机械,2019-08-30,2019-08-09,4,-13.810343
600862,中航高科,2019-08-09,2019-08-09,1,-13.537258
002100,天康生物,2019-08-23,2019-08-09,3,-12.89726
002870,香山股份,2019-08-09,2019-08-09,1,-12.82468
002683,宏大爆破,2019-08-09,2019-08-09,1,-12.707444
002436,兴森科技,2019-08-09,2019-08-02,2,-12.199188
603721,中广天择,2019-08-02,2019-08-02,1,-12.183152
600518,ST康美,2019-08-16,2019-08-02,3,-12.148714000000002
002660,茂硕电源,2019-08-30,2019-08-09,4,-12.102615
002138,顺络电子,2019-08-30,2019-08-30,1,-11.298648
002241,歌尔股份,2019-08-09,2019-08-09,1,-10.939985
603701,德宏股份,2019-08-16,2019-08-02,3,-10.873251
002714,牧原股份,2019-08-23,2019-08-16,2,-10.768291000000001
002447,晨鑫科技,2019-08-16,2019-08-16,1,-10.592343
002263,*ST东南,2019-08-30,2019-08-16,3,-10.243549000000002
603823,百合花,2019-08-30,2019-08-30,1,-10.169261
600072,中船科技,2019-08-02,2019-08-02,1,-10.029204
