code,name,start_date,end_date,days,p_change
002786,银宝山新,2019-11-08,2019-11-01,1,0
002456,欧菲光,2019-11-08,2019-11-01,1,0
002169,智光电气,2019-11-08,2019-11-01,1,0
002819,东方中科,2019-11-08,2019-11-01,1,0
600183,生益科技,2019-11-08,2019-11-01,1,0
002756,永兴材料,2019-11-08,2019-11-01,1,0
603160,汇顶科技,2019-11-08,2019-11-01,1,0
002668,奥马电器,2019-11-08,2019-11-01,1,0
603799,华友钴业,2019-11-08,2019-11-01,1,0
603060,国检集团,2019-11-08,2019-11-01,1,0
000799,酒鬼酒,2019-11-08,2019-11-01,1,0
603118,共进股份,2019-11-08,2019-11-01,1,0
600845,宝信软件,2019-11-08,2019-11-01,1,0
600882,妙可蓝多,2019-11-08,2019-11-01,1,0
002463,沪电股份,2019-11-08,2019-11-01,1,0
603136,天目湖,2019-11-08,2019-11-01,1,0
603180,金牌厨柜,2019-11-08,2019-11-01,1,0
002850,科达利,2019-11-08,2019-11-01,1,0
601058,赛轮轮胎,2019-11-08,2019-11-01,1,0
601231,环旭电子,2019-11-08,2019-11-01,1,0
603300,华铁科技,2019-11-08,2019-11-01,1,0
002129,中环股份,2019-11-08,2019-11-01,1,0
603881,数据港,2019-11-08,2019-11-01,1,0
000048,*ST康达,2019-11-08,2019-11-01,1,0
603986,兆易创新,2019-11-08,2019-11-01,1,0
002855,捷荣技术,2019-11-08,2019-11-01,1,0
603606,东方电缆,2019-11-08,2019-11-01,1,0
002414,高德红外,2019-11-08,2019-11-01,1,0
600146,商赢环球,2019-11-08,2019-11-01,1,0
002194,武汉凡谷,2019-11-08,2019-11-01,1,0
002531,天顺风能,2019-11-08,2019-11-01,1,0
