code,name,start_date,end_date,days,p_change
002756,永兴材料,2019-11-08,2019-11-01,5,0
603799,华友钴业,2019-11-08,2019-11-01,5,0
603060,国检集团,2019-11-08,2019-11-01,5,0
603118,共进股份,2019-10-25,2019-10-18,5,0
600845,宝信软件,2019-11-08,2019-11-01,5,0
600882,妙可蓝多,2019-11-08,2019-11-01,5,0
603136,天目湖,2019-10-18,2019-10-11,5,0
603180,金牌厨柜,2019-11-01,2019-10-25,5,0
002129,中环股份,2019-11-08,2019-11-01,5,0
603881,数据港,2019-11-08,2019-11-01,5,0
002855,捷荣技术,2019-11-08,2019-11-01,5,0
002414,高德红外,2019-11-08,2019-11-01,5,0
002531,天顺风能,2019-11-08,2019-11-01,5,0
