code,name,start_date,end_date,days,p_change
000058,深 赛 格,2019-11-08,2019-11-01,5,0
002134,天津普林,2019-11-01,2019-10-25,5,0
603133,碳元科技,2019-11-08,2019-11-01,5,0
000021,深科技,2019-11-08,2019-11-01,5,0
603118,共进股份,2019-10-25,2019-10-18,5,0
601519,大智慧,2019-11-08,2019-11-01,5,0
603322,超讯通信,2019-11-01,2019-10-25,5,0
603881,数据港,2019-11-08,2019-11-01,5,0
002815,崇达技术,2019-11-08,2019-11-01,5,0
603920,世运电路,2019-11-01,2019-10-25,5,0
000150,宜华健康,2019-11-08,2019-11-01,5,0
002733,雄韬股份,2019-10-25,2019-10-18,5,0
000818,航锦科技,2019-11-08,2019-11-01,5,0
601717,郑煤机,2019-11-08,2019-11-01,5,0
002756,永兴材料,2019-11-08,2019-11-01,5,0
600446,金证股份,2019-11-08,2019-11-01,5,0
603998,方盛制药,2019-10-11,2019-09-30,5,0
603000,人民网,2019-11-08,2019-11-01,5,0
603888,新华网,2019-11-08,2019-11-01,5,0
603386,广东骏亚,2019-11-08,2019-11-01,5,0
603799,华友钴业,2019-11-08,2019-11-01,5,0
002138,顺络电子,2019-11-08,2019-11-01,5,0
002587,奥拓电子,2019-10-25,2019-10-18,5,0
603060,国检集团,2019-11-08,2019-11-01,5,0
002771,真视通,2019-11-01,2019-10-25,5,0
600571,信雅达,2019-10-25,2019-10-18,5,0
002855,捷荣技术,2019-11-08,2019-11-01,5,0
600845,宝信软件,2019-11-08,2019-11-01,5,0
600882,妙可蓝多,2019-11-08,2019-11-01,5,0
002185,华天科技,2019-11-01,2019-10-25,5,0
002530,金财互联,2019-10-11,2019-09-30,5,0
002683,宏大爆破,2019-10-25,2019-10-18,5,0
002808,恒久科技,2019-11-01,2019-10-25,5,0
002369,卓翼科技,2019-11-01,2019-10-25,5,0
000673,当代东方,2019-11-08,2019-11-01,5,0
603228,景旺电子,2019-11-08,2019-11-01,5,0
603690,至纯科技,2019-10-25,2019-10-18,5,0
600651,飞乐音响,2019-10-25,2019-10-18,5,0
603136,天目湖,2019-10-18,2019-10-11,5,0
002859,洁美科技,2019-10-25,2019-10-18,5,0
600093,易见股份,2019-10-25,2019-10-18,5,0
603180,金牌厨柜,2019-11-01,2019-10-25,5,0
600818,中路股份,2019-10-25,2019-10-18,5,0
000977,浪潮信息,2019-10-25,2019-10-18,5,0
002609,捷顺科技,2019-11-08,2019-11-01,5,0
600226,瀚叶股份,2019-10-11,2019-09-30,5,0
603999,读者传媒,2019-11-08,2019-11-01,5,0
002531,天顺风能,2019-11-08,2019-11-01,5,0
002129,中环股份,2019-11-08,2019-11-01,5,0
600069,银鸽投资,2019-10-25,2019-10-18,5,0
002414,高德红外,2019-11-08,2019-11-01,5,0
002528,英飞拓,2019-10-11,2019-09-30,5,0
000766,通化金马,2019-10-25,2019-10-18,5,0
