,code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding,monitor
0,000012,南 玻Ａ,2020-05-14,0,1,0,0,0,0,31.07,32.67,19.57,4.73
1,000019,深粮控股,2020-05-14,0,1,0,0,0,0,11.53,32.12,4.16,10.3
2,000035,中国天楹,2020-05-14,0,1,0,0,0,0,25.24,29.11,23.68,5.03
3,000048,京基智农,2020-05-14,0,1,0,0,0,0,4.02,43.1,4.02,25.38
4,000062,深圳华强,2020-05-14,0,1,0,0,0,0,10.46,28.81,10.45,12.55
5,000063,中兴通讯,2020-05-14,0,1,0,0,0,0,46.12,62.81,34.75,42.45
6,000066,中国长城,2020-05-14,0,1,0,0,0,0,29.28,0.0,24.91,13.34
7,000099,中信海直,2020-05-14,0,1,0,0,0,0,6.06,45.99,6.06,6.96
8,000153,丰原药业,2020-05-14,0,1,0,0,0,0,3.12,29.66,3.12,7.84
9,000157,中联重科,2020-05-14,0,1,0,0,0,0,78.73,13.24,64.17,7.03
10,000338,潍柴动力,2020-05-14,0,1,0,0,0,0,79.34,13.82,42.45,14.3
11,000401,冀东水泥,2020-05-14,0,1,0,0,0,0,13.48,0.0,13.47,21.7
12,000425,徐工机械,2020-05-14,0,1,0,0,0,0,78.34,18.93,69.95,6.56
13,000505,京粮控股,2020-05-14,0,1,0,0,0,0,6.86,56.11,4.06,9.62
14,000526,紫光学大,2020-05-14,0,1,0,0,0,0,0.96,0.0,0.96,47.18
15,000538,云南白药,2020-05-14,0,1,0,0,0,0,12.77,22.79,6.02,90.67
16,000546,金圆股份,2020-05-14,0,1,0,0,0,0,7.15,0.0,6.59,9.47
17,000565,渝三峡Ａ,2020-05-14,0,1,0,0,0,0,4.34,317.61,4.34,4.94
18,000570,苏常柴Ａ,2020-05-14,0,1,0,0,0,0,5.61,438.6,4.11,4.61
19,000576,广东甘化,2020-05-14,0,1,0,0,0,0,4.43,93.32,4.28,7.3
20,000599,青岛双星,2020-05-14,0,1,0,0,0,0,8.29,0.0,7.68,4.15
21,000603,盛达资源,2020-05-14,0,1,0,0,0,0,6.9,0.0,5.79,11.94
22,000609,中迪投资,2020-05-14,0,1,0,0,0,0,2.99,0.0,2.92,6.97
23,000625,长安汽车,2020-05-14,0,1,0,0,0,0,48.03,20.32,39.01,10.93
24,000672,上峰水泥,2020-05-14,0,1,0,0,0,0,8.14,16.16,8.14,28.16
25,000700,模塑科技,2020-05-14,0,1,0,0,0,0,9.17,0.0,8.07,8.96
26,000703,恒逸石化,2020-05-14,0,1,0,0,0,0,28.42,10.69,25.45,12.17
27,000717,韶钢松山,2020-05-14,0,1,0,0,0,0,24.2,6.3,24.2,3.92
28,000718,苏宁环球,2020-05-14,0,1,0,0,0,0,30.35,9.88,22.89,3.5
29,000750,国海证券,2020-05-14,0,1,0,0,0,0,54.45,20.07,54.45,4.47
30,000777,中核科技,2020-05-14,0,1,0,0,0,0,3.83,0.0,3.83,12.05
31,000789,万年青,2020-05-14,0,1,0,0,0,0,7.97,12.09,7.97,15.67
32,000816,ST慧业,2020-05-14,0,1,0,0,0,0,14.19,106.69,13.36,1.35
33,000825,太钢不锈,2020-05-14,0,1,0,0,0,0,56.96,35.27,56.96,3.83
34,000828,东莞控股,2020-05-14,0,1,0,0,0,0,10.4,17.15,10.4,7.29
35,000829,天音控股,2020-05-14,0,1,0,0,0,0,10.33,20.89,9.3,5.68
36,000877,天山股份,2020-05-14,0,1,0,0,0,0,10.49,0.0,8.8,13.66
37,000880,潍柴重机,2020-05-14,0,1,0,0,0,0,2.76,40.52,1.35,7.99
38,000885,城发环境,2020-05-14,0,1,0,0,0,0,4.96,0.0,4.96,10.13
39,000902,新洋丰,2020-05-14,0,1,0,0,0,0,13.05,14.99,11.73,9.15
40,000903,云内动力,2020-05-14,0,1,0,0,0,0,19.71,21.79,17.67,5.79
41,000913,钱江摩托,2020-05-14,0,1,0,0,0,0,4.54,74.17,4.54,10.62
42,000921,海信家电,2020-05-14,0,1,0,0,0,0,13.63,78.23,9.02,10.23
43,000932,华菱钢铁,2020-05-14,0,1,0,0,0,0,61.29,5.51,42.22,4.17
44,000951,中国重汽,2020-05-14,0,1,0,0,0,0,6.71,16.42,6.71,25.49
45,000961,中南建设,2020-05-14,0,1,0,0,0,0,37.57,12.51,37.45,8.13
46,000987,越秀金控,2020-05-14,0,1,0,0,0,0,27.53,2.15,26.67,11.04
47,000998,隆平高科,2020-05-14,0,1,0,0,0,0,13.17,251.48,9.69,18.18
48,001696,宗申动力,2020-05-14,0,1,0,0,0,0,11.45,17.39,8.91,6.1
49,002008,大族激光,2020-05-14,0,1,0,0,0,0,10.67,83.34,9.94,32.81
50,002025,航天电器,2020-05-14,0,1,0,0,0,0,4.29,40.7,4.29,27.33
51,002027,分众传媒,2020-05-14,0,1,0,0,0,0,146.78,484.26,146.78,5.07
52,002028,思源电气,2020-05-14,0,1,0,0,0,0,7.6,41.56,5.87,21.42
53,002030,达安基因,2020-05-14,0,1,0,0,0,0,7.97,24.36,7.75,24.9
54,002032,苏 泊 尔,2020-05-14,0,1,0,0,0,0,8.21,44.54,6.11,69.94
55,002039,黔源电力,2020-05-14,0,1,0,0,0,0,3.05,22.32,3.05,15.32
56,002043,兔 宝 宝,2020-05-14,0,1,0,0,0,0,7.75,0.0,7.44,8.57
57,002050,三花智控,2020-05-14,0,1,0,0,0,0,27.65,72.03,24.07,23.07
