,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
42,002216,三全食品,食品,河南,49.4,5.65,8.02,423917.84,208364.7,166539.81,28755.97,0.36,0.05,2.57,3.85,20080220,99193.8,1.24,5.04,42.22,34.18,2.1,30345.0
99,601966,玲珑轮胎,汽车配件,山东,19.8,12.0,12.0,2651908.25,1269293.38,993113.63,266561.44,2.22,0.24,8.14,2.31,20160706,555891.06,4.63,14.88,26.9,24.23,7.06,55611.0
133,603936,博敏电子,元器件,广东,55.47,2.34,3.15,381361.66,141925.09,113907.65,145621.48,4.62,0.056,7.27,1.71,20151209,55484.48,1.76,15.89,11.72,16.9,3.51,18696.0
335,603258,电魂网络,互联网,浙江,33.93,1.17,2.44,216988.66,130689.9,23889.42,88589.75,3.64,0.17,7.19,3.16,20161026,52763.21,2.16,34.77,74.95,83.29,30.13,21609.0
427,603886,元祖股份,食品,上海,0.0,1.21,2.4,218352.7,138429.31,30586.46,51488.25,2.15,-0.028,5.8,4.11,20161228,50765.03,2.12,23.69,75.18,65.26,-2.0,10691.0
496,603289,泰瑞机器,专用机械,浙江,25.99,1.36,2.67,131362.95,107044.9,18480.18,32369.36,1.21,0.095,3.7,2.66,20171031,36381.15,1.36,1.14,24.18,30.42,13.99,15349.0
770,002511,中顺洁柔,造纸,广东,33.22,12.75,13.06,541067.38,233821.09,253595.34,68117.81,0.52,0.094,2.63,4.76,20101125,161413.63,1.24,25.78,25.18,34.01,8.01,18690.0
1009,603605,珀莱雅,日用化工,浙江,33.53,0.62,2.01,274903.91,170718.02,48978.35,82100.75,4.08,0.46,8.9,6.82,20171115,72559.75,3.6,27.59,30.36,63.83,14.2,8464.0
1233,002129,中环股份,半导体,天津,36.22,26.44,27.85,4244267.5,1271012.63,1822296.75,771658.5,2.77,0.067,4.58,2.13,20070420,215424.77,0.77,36.45,50.15,15.93,4.91,105075.0
1326,603187,海容冷链,机械基件,山东,16.95,0.28,1.12,206832.36,168189.92,29060.48,72576.24,6.48,0.441,11.99,2.5,20181129,47726.03,4.26,0.0,0.0,29.58,12.41,14002.0
1458,603232,格尔软件,软件服务,上海,0.0,0.73,1.21,70289.96,53403.51,6978.9,22588.39,1.86,-0.015,5.11,5.22,20170421,27802.97,2.29,2.67,-213.1,60.32,-3.15,5938.0
1634,603823,百合花,染料涂料,浙江,25.82,0.7,2.25,232828.2,136807.13,71522.09,43177.73,1.92,0.165,6.47,2.63,20161220,71533.75,3.18,18.74,-0.01,19.33,8.09,15783.0
1710,603005,晶方科技,半导体,江苏,300.41,1.75,2.3,218993.52,100932.09,84071.71,94067.68,4.1,0.015,8.16,2.15,20140210,65978.78,2.87,-39.73,-67.96,27.47,3.94,25421.0
1760,002596,海南瑞泽,其他建材,海南,65.78,8.98,11.54,661884.88,313394.75,58448.46,164337.97,1.42,0.027000000000000003,3.11,2.31,20110707,75718.9,0.66,-14.54,6.96,22.87,5.85,70170.0
2171,002402,和而泰,元器件,深圳,31.71,7.34,8.55,359727.88,207531.63,35789.18,18230.18,0.21,0.07,1.94,4.6,20100511,59059.5,0.69,41.4,23.14,19.95,7.84,50028.0
2193,603345,安井食品,食品,福建,41.96,1.37,2.3,462331.19,273341.22,139924.7,59521.15,2.59,0.3,9.22,5.13,20170222,110770.4,4.81,14.61,19.6,26.36,5.92,9357.0
2392,603501,韦尔股份,半导体,上海,134.45,1.41,4.56,557722.88,269898.41,22549.57,119905.95,2.63,0.112,3.78,15.96,20170504,67060.52,1.47,-11.84,19.1,22.11,7.06,13299.0
2565,601100,恒立液压,工程机械,江苏,20.6,8.82,8.82,784067.5,499493.56,219325.09,183406.77,2.08,0.37,5.52,5.52,20111028,190243.16,2.16,61.63,108.13,34.78,20.8,11974.0
2577,002777,久远银海,软件服务,四川,103.88,1.9,2.24,191853.81,156867.86,9280.21,54537.51,2.43,0.063,4.61,5.64,20151231,26118.6,1.16,3.8,68.32,59.11,11.11,8470.0
2647,600598,北大荒,种植业,黑龙江,17.13,17.78,17.78,1077715.0,592049.31,312989.72,242022.13,1.36,0.153,3.82,2.74,20020329,106627.95,0.6,-16.89,-5.57,96.09,47.45,93583.0
2662,002579,中京电子,元器件,广东,65.41,3.49,3.73,283429.72,129165.71,102321.25,39179.1,1.05,0.038,2.75,3.61,20110506,27149.26,0.73,51.17,-25.78,20.6,3.11,26157.0
2716,603068,博通集成,半导体,上海,146.82,0.35,1.39,54980.25,48516.37,5181.62,11840.01,0.85,0.16,3.25,21.35,20190415,20598.72,1.48,0.0,0.0,34.68,12.99,24800.0
2719,002481,双塔食品,食品,山东,51.68,11.07,12.43,422282.25,171716.81,143855.7,54612.11,0.44,0.03,2.11,2.93,20100921,73606.56,0.59,-49.89,-36.86,22.02,10.31,46027.0
2768,002706,良信电器,电气设备,上海,27.57,5.91,7.85,213953.55,127169.72,64308.91,38113.09,0.49,0.055,2.26,2.68,20140121,59552.21,0.76,17.14,7.88,39.61,11.35,17854.0
2818,002920,德赛西威,汽车配件,广东,78.0,1.22,5.5,564975.5,439441.81,55599.63,207004.81,3.76,0.079,7.3,3.38,20171226,121037.36,2.2,-28.38,-72.82,20.56,4.34,29000.0
2847,002041,登海种业,种植业,山东,441.73,8.74,8.8,360662.75,275949.34,63358.86,2931.68,0.03,0.005,3.18,2.98,20050418,161009.77,1.83,-2.29,-75.82,28.86,3.46,73461.0
