code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding
000032,深桑达Ａ,2020-05-11,0,1,0,0,0,0,4.13,104.51,4.11
000034,神州数码,2020-05-11,0,1,0,0,0,0,6.54,37.88,4.81
000035,中国天楹,2020-05-11,0,1,0,0,0,0,25.24,29.11,23.68
000038,深大通,2020-05-11,0,1,0,0,0,0,5.23,63.16,2.32
000048,京基智农,2020-05-11,0,1,0,0,0,0,4.02,43.1,4.02
000062,深圳华强,2020-05-11,0,1,0,0,0,0,10.46,28.81,10.45
000065,北方国际,2020-05-11,0,1,0,0,0,0,7.7,27.34,6.73
000069,华侨城Ａ,2020-05-11,0,1,0,0,0,0,82.03,15.81,70.35
000089,深圳机场,2020-05-11,0,1,0,0,0,0,20.51,0.0,20.51
000099,中信海直,2020-05-11,0,1,0,0,0,0,6.06,45.99,6.06
000151,中成股份,2020-05-11,0,1,0,0,0,0,2.96,84.21,2.67
000158,常山北明,2020-05-11,0,1,0,0,0,0,15.99,0.0,15.7
000409,ST地矿,2020-05-11,0,1,0,0,0,0,5.11,0.0,4.06
000415,渤海租赁,2020-05-11,0,1,0,0,0,0,61.85,11.62,35.47
000429,粤高速Ａ,2020-05-11,0,1,0,0,0,0,20.91,0.0,13.03
000526,紫光学大,2020-05-11,0,1,0,0,0,0,0.96,0.0,0.96
000531,穗恒运Ａ,2020-05-11,0,1,0,0,0,0,6.85,3.13,6.85
000538,云南白药,2020-05-11,0,1,0,0,0,0,12.77,22.79,6.02
000543,皖能电力,2020-05-11,0,1,0,0,0,0,22.67,16.85,17.9
000551,创元科技,2020-05-11,0,1,0,0,0,0,4.0,55.6,4.0
000552,靖远煤电,2020-05-11,0,1,0,0,0,0,22.87,8.71,22.84
000558,莱茵体育,2020-05-11,0,1,0,0,0,0,12.89,0.0,12.88
000561,烽火电子,2020-05-11,0,1,0,0,0,0,6.04,0.0,5.97
000563,陕国投Ａ,2020-05-11,0,1,0,0,0,0,39.64,16.96,39.64
000565,渝三峡Ａ,2020-05-11,0,1,0,0,0,0,4.34,317.61,4.34
000570,苏常柴Ａ,2020-05-11,0,1,0,0,0,0,5.61,438.6,4.11
000571,*ST大洲,2020-05-11,0,1,0,0,0,0,8.14,0.0,8.08
000573,粤宏远Ａ,2020-05-11,0,1,0,0,0,0,6.49,0.0,6.36
000581,威孚高科,2020-05-11,0,1,0,0,0,0,10.09,9.65,8.36
000612,焦作万方,2020-05-11,0,1,0,0,0,0,11.92,13.3,11.91
000657,中钨高新,2020-05-11,0,1,0,0,0,0,8.8,25.29,7.74
000661,长春高新,2020-05-11,0,1,0,0,0,0,2.02,57.04,1.7
000682,东方电子,2020-05-11,0,1,0,0,0,0,13.41,44.0,9.78
000691,亚太实业,2020-05-11,0,1,0,0,0,0,3.23,82.19,2.9
000701,厦门信达,2020-05-11,0,1,0,0,0,0,4.07,262.21,4.07
000712,锦龙股份,2020-05-11,0,1,0,0,0,0,8.96,61.39,7.96
000718,苏宁环球,2020-05-11,0,1,0,0,0,0,30.35,9.88,22.89
000719,中原传媒,2020-05-11,0,1,0,0,0,0,10.23,20.59,6.67
000720,新能泰山,2020-05-11,0,1,0,0,0,0,12.9,0.0,8.63
000722,湖南发展,2020-05-11,0,1,0,0,0,0,4.64,21.62,4.64
