,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
15,东方中科,002819,2019-09-12,2019-09-20,6,0,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
25,ST岩石,600696,2019-09-16,2019-09-20,5,0,3.34,230.73,4.114127174775882,2.115861113262577,1.9982660615133048
9,普利特,002324,2019-09-16,2019-09-20,5,0,5.28,46.51,4.66542419181477,2.9984174241686605,1.6670067676461096
26,创力集团,603012,2019-09-16,2019-09-20,5,0,6.37,32.93,4.8556563460249125,3.294693756439014,1.560962589585898
7,*ST安凯,000868,2019-09-16,2019-09-20,5,0,7.33,27.22,4.97465511896708,3.4845922321649425,1.4900628868021373
23,ST丰华,600615,2019-09-16,2019-09-20,5,0,1.88,10000.0,3.912126484545942,1.25,2.662126484545942
17,*ST新亿,600145,2015-12-04,2019-09-20,4,0,14.91,10000.0,2.4616814098289765,1.25,1.2116814098289763
19,ST康美,600518,2019-09-17,2019-09-20,4,0,49.74,100.93,3.415021139743203,2.494984739791685,0.9200363999515181
10,星网锐捷,002396,2019-09-17,2019-09-20,4,0,5.83,47.37,4.593460384541668,2.9841777972963186,1.6092825872453498
11,立讯精密,002475,2019-09-17,2019-09-20,4,0,53.49,43.6,3.9566029053019363,3.0497354096712432,0.9068674956306929
3,韶能股份,000601,2019-09-17,2019-09-20,4,0,10.81,8.89,6.592922575011861,5.269249363482793,1.3236732115290681
1,深圳华强,000062,2019-09-17,2019-09-20,4,0,10.46,20.81,5.129158886649792,3.7928437346540265,1.336315151995766
18,江泉实业,600212,2019-09-17,2019-09-20,4,0,5.12,10000.0,2.935784565445849,1.25,1.6857845654458494
14,华通医药,002758,2019-09-17,2019-09-20,4,0,2.1,48.81,5.463255209670292,2.9611927265807347,2.5020624830895573
31,振静股份,603477,2019-09-06,2019-09-20,4,0,2.4,37.16,5.517377023719808,3.1845598164808444,2.3328172072389632
27,华培动力,603121,2019-09-17,2019-09-20,4,0,2.16,37.13,5.649615413112751,3.185271408513252,2.464344004599499
4,长春高新,000661,2019-09-17,2019-09-20,4,0,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
29,梦百合,603313,2019-09-17,2019-09-20,4,0,3.2,16.95,6.1038840613484115,4.067786563296735,2.0360974980516757
28,保隆科技,603197,2019-09-17,2019-09-20,4,0,1.66,22.52,6.5651673582293775,3.696670756976539,2.8684966012528386
8,水晶光电,002273,2019-09-17,2019-09-20,4,0,11.22,41.85,4.392852764690696,3.083192939825079,1.3096598248656175
24,上海凤凰,600679,2019-09-18,2019-09-20,3,0,4.02,134.43,4.198620843500386,2.3490763118167086,1.8495445316836778
2,*ST沈机,000410,2019-09-18,2019-09-20,3,0,7.65,10000.0,2.7197423878799087,1.25,1.469742387879909
22,*ST毅达,600610,2019-09-18,2019-09-20,3,0,10.71,10000.0,2.5772186374995867,1.25,1.327218637499587
21,深高速,600548,2019-09-18,2019-09-20,3,0,21.81,6.63,7.187783928223707,6.086327037984478,1.1014568902392297
20,贵州茅台,600519,2019-09-18,2019-09-20,3,0,12.56,35.95,4.482935800553135,3.213989556059592,1.268946244493543
6,五 粮 液,000858,2019-09-18,2019-09-20,3,0,38.82,21.21,4.737173577945203,3.769202195354763,0.9679713825904397
13,南方轴承,002553,2019-09-18,2019-09-20,3,0,3.48,33.97,5.228921099068593,3.2656355184503982,1.9632855806181946
5,酒鬼酒,000799,2019-09-18,2019-09-20,3,0,3.25,30.15,5.402241250103659,3.380005996340566,2.022235253763092
0,深深房Ａ,000029,2019-09-18,2019-09-20,3,0,10.12,16.66,5.441994460988292,4.092741532722358,1.3492529282659347
12,宝鼎科技,002552,2019-09-18,2019-09-20,3,0,3.06,24.59,5.6723429418849385,3.5951604082805906,2.077182533604348
16,金奥博,002917,2019-09-18,2019-09-20,3,0,1.81,39.19,5.860216364170315,3.138386663802681,2.721829700367634
30,尚纬股份,603333,2019-09-18,2019-09-20,3,0,5.2,36.19,4.884301547937165,3.208030685063021,1.676270862874144
