,code,name,type,report_date,pre_eps,range
80,300475,聚隆科技,预增,2019-08-30,0.1236,98.21%~126.53%
306,002084,海鸥住工,预增,2019-08-23,0.0686,95.6%~193.4%
124,002054,德美化工,预增,2019-08-29,0.0881,95.07%~143.84%
451,002182,云海金属,预增,2019-07-26,0.3831,93.83%~109.98%
419,002438,江苏神通,预增,2019-08-13,0.1266,90%~130%
334,000906,浙商中拓,预增,2019-08-22,0.26,88.33%~103.67%
259,300200,高盟新材,预增,2019-08-24,0.2555,85.23%~112.26%
75,300306,远方信息,预增,2019-08-30,0.004,8060.49%~8090.24%
319,002031,巨轮智能,预增,2019-08-23,0.0205,80%~120%
407,002799,环球印务,预增,2019-08-16,0.1074,80%~120%
363,002810,山东赫达,预增,2019-08-20,0.4955,80%~100%
220,002734,利民股份,预增,2019-08-27,0.54,80%~100%
217,002102,ST冠福,预增,2019-08-27,0.1492,78.08%~128.95%
258,000715,中兴商业,预增,2019-08-24,0.2215,76.17%~92.75%
230,002094,青岛金王,预增,2019-08-27,0.3079,75%~95%
150,002357,富临运业,预增,2019-08-28,0.1558,70%~120%
215,002616,长青集团,预增,2019-08-27,0.131,70%~100%
455,002674,兴业科技,预增,2019-07-23,0.1826,70%~100%
398,002278,神开股份,预增,2019-08-17,0.04,70%~100%
345,002759,天际股份,预增,2019-08-21,0.1085,674.89%~715.67%
0,002803,吉宏股份,预增,2019-09-06,1.15,67.11%~74.72%
73,002733,雄韬股份,预增,2019-08-30,0.21,67.01%~108.76%
318,000999,华润三九,预增,2019-08-23,1.14,64.95%~85%
139,002409,雅克科技,预增,2019-08-28,0.3052,62.7%~81.97%
418,002012,凯恩股份,预增,2019-08-13,0.04,62%~116%
274,000411,英特集团,预增,2019-08-24,0.3608,60.31%~100.39%
347,300715,凯伦股份,预增,2019-08-21,0.31,60%~80%
322,002628,成都路桥,预增,2019-08-23,0.0224,60%~110%
352,002451,摩恩电气,预增,2019-08-21,0.013999999999999999,569.02%~652.65%
224,002137,麦达数字,预增,2019-08-27,0.1342,55.27%~94.09%
170,002292,奥飞娱乐,预增,2019-08-28,0.0535,55%~85%
430,002800,天顺股份,预增,2019-08-10,0.0068,5046.48%~6827.95%
156,002893,华通热力,预增,2019-08-28,0.15,50%~80%
287,002429,兆驰股份,预增,2019-08-24,0.0787,50%~80%
453,002568,百润股份,预增,2019-07-25,0.2,50%~70%
104,300770,新媒股份,预增,2019-08-29,0.0,50%~70%
346,002475,立讯精密,预增,2019-08-21,0.4,50%~60%
355,002241,歌尔股份,预升,2019-08-21,0.26,5%~25%
387,002961,瑞达期货,预升,2019-08-19,0.0,5%~20%
74,300411,金盾股份,预增,2019-08-30,0.1344,49.55%~66.17%
101,002621,美吉姆,预增,2019-08-29,0.04,459.93%~534.59%
317,300058,蓝色光标,预增,2019-08-23,0.19,45.34%~69.57%
