,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
0,国农科技,000004,2019-09-20,0,0,2,0.84,77.85,7.626296409144432,2.6437420854608757,4.982554323683556
16,豪能股份,603809,2019-09-19,0,0,2,2.09,15.64,6.69534272826038,4.18677452803478,2.5085682002255996
9,中青旅,600138,2019-09-19,0,0,2,7.24,11.72,6.173628388955817,4.677585222194762,1.496043166761055
15,金石资源,603505,2019-09-19,0,0,2,2.4,21.08,6.109621356600524,3.7768041493615603,2.3328172072389632
14,梦百合,603313,2019-09-20,0,0,2,3.2,16.95,6.1038840613484115,4.067786563296735,2.0360974980516757
7,金奥博,002917,2019-09-19,0,0,2,1.81,39.19,5.860216364170315,3.138386663802681,2.721829700367634
13,华懋科技,603306,2019-09-19,0,0,2,3.11,21.31,5.82551409000754,3.763406808263022,2.062107281744518
17,顾家家居,603816,2019-09-20,0,0,2,6.02,18.05,5.570827038427591,3.9793797891135614,1.5914472493140304
12,上海亚虹,603159,2019-09-19,0,0,2,1.4,178.99,5.428420697381805,2.2194318853397683,3.208988812042036
6,道恩股份,002838,2019-09-19,0,0,2,4.03,33.07,5.138399468027591,3.2906986144825954,1.847700853544995
5,安洁科技,002635,2019-09-19,0,0,2,6.89,24.71,5.110222236961136,3.5897033785068815,1.520518858454255
4,中京电子,002579,2019-09-19,0,0,2,3.72,37.55,5.084398220467717,3.175389579811991,1.909008640655726
8,东睦股份,600114,2019-09-20,0,0,2,6.46,32.97,4.847124071170154,3.293549566329547,1.553574504840607
2,纳思达,002180,2019-09-20,0,0,2,10.63,35.18,4.563626665442024,3.233533898516458,1.3300927669255664
1,海特高新,002023,2019-09-19,0,0,2,7.57,97.16,3.9904291987354887,2.515739084935497,1.474690113799992
11,中国海防,600764,2019-09-19,0,0,2,3.95,429.68,3.7615557523894294,1.8988698819697964,1.862685870419633
3,天业通联,002459,2019-09-19,0,0,2,3.89,10000.0,3.1242897799796747,1.25,1.8742897799796747
10,*ST大控,600747,2019-09-20,0,0,2,14.64,656.11,2.9924882660265437,1.7749525852489427,1.217535680777601
