,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
108,江山欧派,603208,2019-10-30,0,0,3,0.81,16.7,9.275893061997575,4.089255455360996,5.186637606636579
123,恒林股份,603661,2019-10-29,0,0,3,1.0,13.35,8.634350509439443,4.442543960860673,4.19180654857877
36,民和股份,002234,2019-10-29,0,0,3,3.02,6.14,8.433406429665729,6.343822187079945,2.089584242585784
109,爱婴室,603214,2019-10-30,0,0,3,1.02,32.57,7.422677286839864,3.3050907630428825,4.117586523796981
24,国光电器,002045,2019-10-30,0,0,3,4.68,7.71,7.379754283617899,5.636633022415198,1.7431212612027007
65,赞宇科技,002637,2019-10-29,0,0,3,4.23,8.06,7.3292017722244545,5.5167236941890865,1.8124780780353678
111,百达精工,603331,2019-10-30,0,0,3,1.28,21.62,7.168439545315655,3.7457232559974476,3.4227162893182075
54,益生股份,002458,2019-10-30,0,0,3,5.74,7.98,7.161299065424236,5.543219481827393,1.6180795835968431
20,华润三九,000999,2019-10-29,0,0,3,9.79,8.39,6.775136777851987,5.412649808089668,1.3624869697623194
9,韶能股份,000601,2019-10-31,0,0,3,10.81,8.89,6.592922575011861,5.269249363482793,1.3236732115290681
114,新天然气,603393,2019-10-31,0,0,3,2.24,15.81,6.587679065498905,4.170378755785943,2.417300309712962
14,大冶特钢,000708,2019-10-30,0,0,3,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
117,司太立,603520,2019-10-30,0,0,3,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
82,新湖中宝,600208,2019-10-31,0,0,3,85.99,7.61,6.5022275561379175,5.672892035947382,0.8293355201905352
77,瀛通通讯,002861,2019-10-31,0,0,3,1.23,59.62,6.343452334948301,2.8162794919151666,3.5271728430331346
47,力生制药,002393,2019-10-31,0,0,3,1.82,25.1,6.285256171430019,3.572261108617046,2.7129950628129724
124,皖天然气,603689,2019-10-30,0,0,3,3.36,15.15,6.228909724909,4.235806921158924,1.9931028037500755
131,城地股份,603887,2019-10-29,0,0,3,2.57,18.13,6.227959570219484,3.9733063612534045,2.25465320896608
41,圣农发展,002299,2019-10-29,0,0,3,12.39,10.28,6.214474204737767,4.940745077780025,1.273729126957742
78,名臣健康,002919,2019-10-31,0,0,3,1.22,78.21,6.190309096299218,2.640944172008827,3.5493649242903915
103,喜临门,603008,2019-10-31,0,0,3,3.95,14.31,6.1892941433921695,4.326608272972536,1.862685870419633
120,国联股份,603613,2019-10-30,0,0,3,1.41,47.22,6.179785061185159,2.9866330560191994,3.1931520051659597
92,江中药业,600750,2019-10-31,0,0,3,5.25,13.21,6.131142257523705,4.460690009363037,1.6704522481606678
59,杭锅股份,002534,2019-10-31,0,0,3,7.39,12.04,6.113088432259436,4.6269456287737665,1.4861428034856692
63,宜昌交运,002627,2019-10-29,0,0,3,3.15,17.1,6.105536813504859,4.055162832922281,2.050373980582578
84,羚锐制药,600285,2019-10-31,0,0,3,5.86,12.94,6.103070003113775,4.496668648879784,1.6064013542339903
106,音飞储存,603066,2019-10-30,0,0,3,3.02,18.52,6.033918695032189,3.9443344524464052,2.089584242585784
49,爱仕达,002403,2019-10-31,0,0,3,3.5,17.61,5.9721169963026455,4.013616254254597,1.9585007420480482
