,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
5,益生股份,002458,2019-10-30,0,0,10,5.74,7.98,7.161299065424236,5.543219481827393,1.6180795835968431
2,大冶特钢,000708,2019-10-30,0,0,10,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
28,司太立,603520,2019-10-30,0,0,10,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
16,奥士康,002913,2019-10-23,0,0,10,1.48,36.87,6.280837643173437,3.191476179670778,3.089361463502659
14,金溢科技,002869,2019-10-28,0,0,10,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
30,国联股份,603613,2019-10-30,0,0,10,1.41,47.22,6.179785061185159,2.9866330560191994,3.1931520051659597
26,百傲化学,603360,2019-10-18,0,0,10,1.87,27.08,6.1603985892360145,3.490039211675427,2.6703593775605876
1,长春高新,000661,2019-10-31,0,0,10,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
7,宝鼎科技,002552,2019-10-18,0,0,10,3.06,24.59,5.6723429418849385,3.5951604082805906,2.077182533604348
25,安井食品,603345,2019-10-23,0,0,10,2.3,33.17,5.672080250897642,3.287861179691137,2.384219071206505
29,珀莱雅,603605,2019-10-30,0,0,10,2.01,46.55,5.560806145408273,2.997746260815089,2.5630598845931845
21,星宇股份,601799,2019-10-31,0,0,10,2.76,31.03,5.530273906457637,3.351696663570014,2.178577242887623
10,新宝股份,002705,2019-10-31,0,0,10,8.01,19.33,5.335808219137194,3.887324034418608,1.4484841847185854
22,昭衍新药,603127,2019-10-18,0,0,10,1.61,120.09,5.328618858265619,2.4044162261083257,2.924202632157293
12,凯莱英,002821,2019-10-31,0,0,10,2.31,55.29,5.248074948378381,2.8691990842364534,2.378875864141928
4,双汇发展,000895,2019-10-30,0,0,10,33.0,15.49,5.203686309049845,4.201499133049809,1.0021871760000356
8,洽洽食品,002557,2019-10-29,0,0,10,5.07,27.89,5.150996356218564,3.4591339301620385,1.6918624260565258
15,大博医疗,002901,2019-10-21,0,0,10,4.02,36.93,5.0395828176257496,3.190038285942072,1.8495445316836778
27,绝味食品,603517,2019-10-29,0,0,10,5.74,29.77,5.010718887715046,3.392639304118203,1.6180795835968431
37,丸美股份,603983,2019-10-31,0,0,10,4.01,39.04,4.993067364666784,3.1416708660805965,1.8513964985861877
19,山东药玻,600529,2019-10-18,0,0,10,5.95,30.64,4.961989660844283,3.364083838438349,1.5979058224059342
36,益丰药房,603939,2019-10-21,0,0,10,3.79,47.12,4.882645584887611,2.9882764861247155,1.8943690987628956
20,通策医疗,600763,2019-10-28,0,0,10,3.21,76.29,4.6893807383890405,2.6560881900100592,2.033292548378981
31,安图生物,603658,2019-10-29,0,0,10,4.2,56.8,4.667630683108827,2.8500611299486045,1.8175695531602232
32,健友股份,603707,2019-10-29,0,0,10,7.18,42.74,4.56601358857055,3.065914993422516,1.5000985951480348
34,金域医学,603882,2019-10-18,0,0,10,4.58,66.3,4.502459739287325,2.744970005454118,1.7574897338332067
13,视源股份,002841,2019-10-25,0,0,10,6.56,49.75,4.492300333980644,2.946735252494927,1.5455650814857171
35,晨光文具,603899,2019-10-29,0,0,10,9.2,41.76,4.4729841762011,3.0849715493853602,1.3880126268157402
24,天味食品,603317,2019-10-18,0,0,10,4.13,91.82,4.3769099254335595,2.54720312741071,1.8297067980228492
0,中航善达,000043,2019-10-30,0,0,10,6.67,62.37,4.32254007002905,2.7855529616881385,1.5369871083409115
3,新 希 望,000876,2019-10-31,0,0,10,42.16,30.86,4.308530617582085,3.3570657251444014,0.9514648924376842
23,济民制药,603222,2019-10-28,0,0,10,3.2,306.73,4.0467489202472695,2.010651422195594,2.0360974980516757
6,立讯精密,002475,2019-10-31,0,0,10,53.49,43.6,3.9566029053019363,3.0497354096712432,0.9068674956306929
33,三棵树,603737,2019-10-31,0,0,10,1.86,10000.0,3.9286879074731575,1.25,2.6786879074731575
17,鹏鼎控股,002938,2019-10-28,0,0,10,23.11,64.36,3.850957375860727,2.764544769072315,1.0864126067884121
18,恒瑞医药,600276,2019-10-31,0,0,10,44.23,73.38,3.62226986533216,2.6801349416395728,0.942134923692587
9,中公教育,002607,2019-10-31,0,0,10,61.67,96.07,3.404103660453766,2.5219564164825394,0.8821472439712265
11,牧原股份,002714,2019-10-29,0,0,10,20.85,10000.0,2.363444820919376,1.25,1.113444820919376
