,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
93,春风动力,603129,2019-09-19,0,0,5,1.34,15.69,7.491939888002202,4.181920417987058,3.310019470015144
105,亿嘉和,603666,2019-09-19,0,0,5,0.98,39.67,7.398341410173459,3.128006404228298,4.270335005945161
21,宏创控股,002379,2019-09-16,0,0,5,9.26,7.01,7.29743449600639,5.912136071100141,1.3852984249062488
45,微光股份,002801,2019-09-16,0,0,5,1.18,23.4,7.294690766859528,3.6517251629392073,3.64296560392032
85,郑煤机,601717,2019-09-18,0,0,5,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
68,深高速,600548,2019-09-19,0,0,5,21.81,6.63,7.187783928223707,6.086327037984478,1.1014568902392297
48,盐津铺子,002847,2019-09-20,0,0,5,1.28,27.53,6.895405850201124,3.4726895608829165,3.4227162893182075
102,金麒麟,603586,2019-09-20,0,0,5,2.04,16.53,6.64626990058766,4.104170905017024,2.5420989955706355
12,宁波华翔,002048,2019-09-20,0,0,5,6.26,9.78,6.619010874926561,5.048776967427329,1.5702339074992318
6,韶能股份,000601,2019-09-19,0,0,5,10.81,8.89,6.592922575011861,5.269249363482793,1.3236732115290681
8,大冶特钢,000708,2019-09-20,0,0,5,4.49,11.04,6.564908593869561,4.7940060041599075,1.7709025897096533
100,司太立,603520,2019-09-20,0,0,5,1.68,22.99,6.519571636484724,3.672315009344762,2.847256627139961
57,恒铭达,002947,2019-09-20,0,0,5,1.22,54.39,6.430347403050073,2.880982478759681,3.5493649242903915
88,安德利,603031,2019-09-20,0,0,5,1.12,80.66,6.42221966776075,2.622389242947785,3.7998304248129644
60,保利地产,600048,2019-09-18,0,0,5,118.96,8.04,6.306837914850344,5.523299189121882,0.7835387257284616
108,安正时尚,603839,2019-09-20,0,0,5,4.02,13.44,6.280600221467553,4.431055689783875,1.8495445316836778
2,德赛电池,000049,2019-09-20,0,0,5,2.05,22.19,6.249531708673912,3.714276178355757,2.535255530318155
50,金溢科技,002869,2019-09-20,0,0,5,1.18,83.71,6.243370700739458,2.600405096819138,3.64296560392032
91,东方材料,603110,2019-09-20,0,0,5,1.44,43.24,6.20365702338022,3.05644828669083,3.1472087366893904
99,金石资源,603505,2019-09-20,0,0,5,2.4,21.08,6.109621356600524,3.7768041493615603,2.3328172072389632
101,海兴电力,603556,2019-09-20,0,0,5,4.94,13.86,6.087355004879239,4.379191646233232,1.7081633586460074
80,广日股份,600894,2019-09-20,0,0,5,8.6,12.4,5.989613390476497,4.572801205472828,1.4168121850036686
7,长春高新,000661,2019-09-19,0,0,5,1.7,41.16,5.92355604782232,3.0969812887935064,2.826574759028814
81,赛轮轮胎,601058,2019-09-19,0,0,5,27.0,10.65,5.9148440388754135,4.866892401730722,1.0479516371446924
36,姚记科技,002605,2019-09-16,0,0,5,3.98,17.39,5.888286865908718,4.031284112767737,1.8570027531409807
56,金奥博,002917,2019-09-20,0,0,5,1.81,39.19,5.860216364170315,3.138386663802681,2.721829700367634
52,科力尔,002892,2019-09-18,0,0,5,1.42,79.35,5.809787642796232,2.632206616305401,3.1775810264908313
44,东音股份,002793,2019-09-16,0,0,5,2.07,36.29,5.727342756540854,3.2055659535149434,2.5217768030259107
49,科达利,002850,2019-09-16,0,0,5,2.1,35.97,5.715553101670173,3.213490618580615,2.5020624830895573
78,海通证券,600837,2019-09-16,0,0,5,115.02,10.42,5.700284446909068,4.91222966093423,0.7880547859748377
43,坚朗五金,002791,2019-09-18,0,0,5,3.22,23.09,5.697741963244041,3.6672379582643972,2.0305040049796435
33,宝鼎科技,002552,2019-09-20,0,0,5,3.06,24.59,5.6723429418849385,3.5951604082805906,2.077182533604348
51,三利谱,002876,2019-09-20,0,0,5,1.04,1379.97,5.639739211372469,1.5924227962075497,4.04731641516492
89,三维股份,603033,2019-09-20,0,0,5,3.04,25.52,5.637306222267975,3.5539616873301787,2.083344534937797
83,博威合金,601137,2019-09-16,0,0,5,6.85,16.85,5.5997563903229555,4.076308810047354,1.5234475802756022
46,东方中科,002819,2019-09-20,0,0,5,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
103,珀莱雅,603605,2019-09-20,0,0,5,2.01,46.55,5.560806145408273,2.997746260815089,2.5630598845931845
65,恒力石化,600346,2019-09-16,0,0,5,70.39,12.01,5.491940594771541,4.6315894463794205,0.8603511483921202
71,广汇物流,600603,2019-09-20,0,0,5,12.55,15.48,5.471714345710272,4.202489540803907,1.269224804906365
112,康德莱,603987,2019-09-20,0,0,5,4.42,22.86,5.460637622846999,3.678969511885181,1.7816681109618184
42,良信电器,002706,2019-09-20,0,0,5,7.85,17.84,5.453277059067953,3.9955414550729227,1.4577356039950304
104,艾迪精密,603638,2019-09-20,0,0,5,3.86,25.86,5.41971521500971,3.5395009567505995,1.88021425825911
70,龙溪股份,600592,2019-09-18,0,0,5,4.0,26.88,5.3511563796036,3.497899563545346,1.8532568160582534
61,金发科技,600143,2019-09-16,0,0,5,27.17,14.58,5.3428846374127765,4.296427646621622,1.0464569907911552
25,中远海科,002401,2019-09-20,0,0,5,3.03,35.29,5.3171557303099775,3.230701154869985,2.086454575439992
90,国检集团,603060,2019-09-20,0,0,5,3.08,36.03,5.28309306213491,3.211996396180071,2.0710966659548387
66,健康元,600380,2019-09-20,0,0,5,19.38,16.8,5.214084016355928,4.080602403466201,1.1334816128897274
82,恒立液压,601100,2019-09-16,0,0,5,8.82,21.71,5.146554134631698,3.740667529811858,1.4058866048198397
30,富春环保,002479,2019-09-16,0,0,5,8.94,21.61,5.14639755851798,3.746287147856425,1.400110410661555
107,福斯特,603806,2019-09-20,0,0,5,5.23,27.76,5.136764692379766,3.463996525184943,1.6727681671948234
3,深圳华强,000062,2019-09-18,0,0,5,10.46,20.81,5.129158886649792,3.7928437346540265,1.336315151995766
41,红旗连锁,002697,2019-09-20,0,0,5,13.6,19.59,5.1115927639274,3.8698658957572625,1.2417268681701377
34,中京电子,002579,2019-09-16,0,0,5,3.72,37.55,5.084398220467717,3.175389579811991,1.909008640655726
