,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
33,西麦食品,002956,2019-09-18,0,0,5,0.8,27.61,8.72988647041166,3.4696527356158344,5.2602337347958255
62,元利科技,603217,2019-09-18,0,0,5,0.91,27.2,8.07081300719254,3.485367615274062,4.585445391918477
0,国农科技,000004,2019-09-20,0,0,5,0.84,77.85,7.626296409144432,2.6437420854608757,4.982554323683556
48,新奥股份,600803,2019-09-16,0,0,5,12.29,6.52,7.417228806213705,6.140638334345394,1.2765904718683112
55,郑煤机,601717,2019-09-18,0,0,5,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
72,新化股份,603867,2019-09-17,0,0,5,1.4,23.85,6.838783487874679,3.6297946758326423,3.208988812042036
70,豪能股份,603809,2019-09-19,0,0,5,2.09,15.64,6.69534272826038,4.18677452803478,2.5085682002255996
29,瀛通通讯,002861,2019-09-17,0,0,5,1.23,59.62,6.343452334948301,2.8162794919151666,3.5271728430331346
58,东方材料,603110,2019-09-20,0,0,5,1.44,43.24,6.20365702338022,3.05644828669083,3.1472087366893904
49,兰生股份,600826,2019-09-20,0,0,5,4.21,13.88,6.1926562439298545,4.376791057945452,1.8158651859844028
32,名臣健康,002919,2019-09-17,0,0,5,1.22,78.21,6.190309096299218,2.640944172008827,3.5493649242903915
37,中青旅,600138,2019-09-19,0,0,5,7.24,11.72,6.173628388955817,4.677585222194762,1.496043166761055
14,北京利尔,002392,2019-09-20,0,0,5,11.9,10.68,6.149217140365392,4.861111942329005,1.2881051980363867
68,金石资源,603505,2019-09-19,0,0,5,2.4,21.08,6.109621356600524,3.7768041493615603,2.3328172072389632
65,梦百合,603313,2019-09-20,0,0,5,3.2,16.95,6.1038840613484115,4.067786563296735,2.0360974980516757
39,羚锐制药,600285,2019-09-16,0,0,5,5.86,12.94,6.103070003113775,4.496668648879784,1.6064013542339903
31,金奥博,002917,2019-09-19,0,0,5,1.81,39.19,5.860216364170315,3.138386663802681,2.721829700367634
27,比音勒芬,002832,2019-09-17,0,0,5,3.08,21.09,5.84731329610153,3.776216630146691,2.0710966659548387
64,华懋科技,603306,2019-09-19,0,0,5,3.11,21.31,5.82551409000754,3.763406808263022,2.062107281744518
26,贝肯能源,002828,2019-09-17,0,0,5,2.03,34.53,5.79957323383753,3.2505598246520595,2.549013409185471
53,利群股份,601366,2019-09-17,0,0,5,8.61,14.06,5.771762198837036,4.355456389478671,1.4163058093583647
20,宝鼎科技,002552,2019-09-18,0,0,5,3.06,24.59,5.6723429418849385,3.5951604082805906,2.077182533604348
30,佛燃股份,002911,2019-09-18,0,0,5,5.56,17.37,5.669307806764068,4.0329091242025745,1.6363986825614931
59,华培动力,603121,2019-09-18,0,0,5,2.16,37.13,5.649615413112751,3.185271408513252,2.464344004599499
25,东方中科,002819,2019-09-18,0,0,5,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
71,顾家家居,603816,2019-09-20,0,0,5,6.02,18.05,5.570827038427591,3.9793797891135614,1.5914472493140304
67,振静股份,603477,2019-09-20,0,0,5,2.4,37.16,5.517377023719808,3.1845598164808444,2.3328172072389632
24,华通医药,002758,2019-09-18,0,0,5,2.1,48.81,5.463255209670292,2.9611927265807347,2.5020624830895573
1,深深房Ａ,000029,2019-09-20,0,0,5,10.12,16.66,5.441994460988292,4.092741532722358,1.3492529282659347
61,上海亚虹,603159,2019-09-19,0,0,5,1.4,178.99,5.428420697381805,2.2194318853397683,3.208988812042036
21,南方轴承,002553,2019-09-18,0,0,5,3.48,33.97,5.228921099068593,3.2656355184503982,1.9632855806181946
28,道恩股份,002838,2019-09-19,0,0,5,4.03,33.07,5.138399468027591,3.2906986144825954,1.847700853544995
23,安洁科技,002635,2019-09-19,0,0,5,6.89,24.71,5.110222236961136,3.5897033785068815,1.520518858454255
22,中京电子,002579,2019-09-19,0,0,5,3.72,37.55,5.084398220467717,3.175389579811991,1.909008640655726
60,海量数据,603138,2019-09-17,0,0,5,2.11,88.43,5.064202700188699,2.5685816105924353,2.4956210895962636
11,亚联发展,002316,2019-09-18,0,0,5,3.93,43.62,4.915883141998211,3.0493649595073067,1.8665181824909052
57,创力集团,603012,2019-09-18,0,0,5,6.37,32.93,4.8556563460249125,3.294693756439014,1.560962589585898
36,东睦股份,600114,2019-09-20,0,0,5,6.46,32.97,4.847124071170154,3.293549566329547,1.553574504840607
54,上海电影,601595,2019-09-16,0,0,5,3.74,51.46,4.826240408370493,2.9214655455524405,1.9047748628180527
63,大参林,603233,2019-09-18,0,0,5,5.2,40.02,4.796829753088685,3.120558890214541,1.676270862874144
45,上海石化,600688,2019-09-16,0,0,5,108.24,20.08,4.634328524642808,3.83799453997739,0.7963339846654179
42,贵航股份,600523,2019-09-16,0,0,5,4.04,67.47,4.5794342199295155,2.733568816933717,1.8458654029957984
9,纳思达,002180,2019-09-20,0,0,5,10.63,35.18,4.563626665442024,3.233533898516458,1.3300927669255664
41,华海药业,600521,2019-09-16,0,0,5,12.51,35.49,4.495928363588699,3.2255858645179076,1.2703424990707914
2,万泽股份,000534,2019-09-17,0,0,5,4.92,64.04,4.478595195736833,2.7678575866700026,1.7107376090668311
51,海油发展,600968,2019-09-16,0,0,5,101.65,24.05,4.425342002650638,3.620263126393605,0.805078876257033
3,滨海能源,000695,2019-09-16,0,0,5,2.22,333.32,4.41061080333418,1.9818766315130192,2.428734171821161
19,海联金汇,002537,2019-09-16,0,0,5,12.44,39.83,4.396901168480651,3.1245892992774027,1.2723118692032485
56,中国石油,601857,2019-09-16,0,0,5,1830.21,19.71,4.396751793586323,3.8619384075144407,0.5348133860718819
13,顺丰控股,002352,2019-09-16,0,0,5,44.15,29.48,4.344938228052547,3.4024542383965137,0.9424839896560328
