code,profitForcastExpPubDate,profitForcastExpStatDate,profitForcastType,profitForcastChgPctUp,profitForcastChgPctDwn,name,industry,outstanding
600570,2020-01-20,2019-12-31,预增,108.0,100.0,恒生电子,软件服务,8.03
603279,2020-01-23,2019-12-31,预增,65.0,45.0,景津环保,环境保护,0.41
603960,2020-01-22,2019-12-31,预增,60.0,50.0,克来机电,专用机械,0.67
601919,2020-01-23,2019-12-31,预增,449.0,449.0,中远海控,水运,76.36
603606,2020-01-15,2019-12-31,预增,165.0,165.0,东方电缆,电气设备,6.39
600571,2020-01-16,2019-12-31,预增,120.0,100.0,信雅达,软件服务,4.31
601901,2020-01-23,2019-12-31,预增,75.0,25.0,方正证券,证券,82.32
601918,2020-01-22,2019-12-31,预增,127.52,127.52,新集能源,煤炭开采,25.91
603936,2020-01-21,2019-12-31,预增,70.0,47.0,博敏电子,元器件,2.55
600739,2020-01-23,2019-12-31,预增,62.27,45.73,辽宁成大,商贸代理,15.3
601919,2019-10-31,2019-12-31,预增,0.0,0.0,中远海控,水运,76.36
603160,2019-10-25,2019-12-31,预增,0.0,0.0,汇顶科技,元器件,4.49
600546,2020-01-22,2019-12-31,预增,431.82,354.55,山煤国际,煤炭开采,19.82
600575,2020-01-21,2019-12-31,预增,124.72,95.88,淮河能源,水运,38.86
601677,2020-01-14,2019-12-31,预增,90.0,90.0,明泰铝业,铝,5.75
601628,2020-01-20,2019-12-31,预增,420.0,400.0,中国人寿,保险,208.24
601688,2020-01-23,2019-12-31,预增,85.0,70.0,华泰证券,证券,73.58
603309,2019-10-29,2019-12-31,预增,0.0,0.0,维力医疗,医疗保健,2.0
603600,2020-01-17,2019-12-31,预增,85.0,65.0,永艺股份,家居用品,3.02
603906,2020-01-21,2019-12-31,预增,62.0,52.0,龙蟠科技,化工原料,1.12
603308,2020-01-21,2019-12-31,预增,83.21,73.64,应流股份,专用机械,4.34
603308,2019-10-31,2019-12-31,预增,90.0,70.0,应流股份,专用机械,4.34
600794,2019-10-23,2019-12-31,预增,0.0,0.0,保税科技,仓储物流,12.12
601898,2020-01-18,2019-12-31,预增,71.8,60.1,中煤能源,煤炭开采,91.52
