,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
497,S佳通,600182,2019-09-05,2019-09-16,7,0,3.4,71.78,4.676906824852495,2.6939605038081393,1.982946321044356
676,渤海汽车,600960,2019-09-05,2019-09-16,7,0,9.51,97.85,3.8861403283175067,2.5118549127760246,1.3742854155414819
774,国检集团,603060,2019-09-05,2019-09-12,6,0,3.08,36.03,5.28309306213491,3.211996396180071,2.0710966659548387
89,山东海化,000822,2019-09-05,2019-09-12,6,0,8.95,10.03,6.393138477149023,4.993503786037161,1.3996346911118618
450,浦发银行,600000,2019-09-05,2019-09-12,6,0,293.52,5.16,7.6952424680491855,7.016069730448734,0.6791727376004517
674,东方证券,600958,2019-09-05,2019-09-12,6,0,69.94,28.76,4.288884003539756,3.4275007594903504,0.8613832440494056
775,音飞储存,603066,2019-09-05,2019-09-12,6,0,3.02,18.52,6.033918695032189,3.9443344524464052,2.089584242585784
732,东吴证券,601555,2019-09-05,2019-09-12,6,0,30.0,17.93,5.01199023321955,3.9885757949706333,1.0234144382489168
916,三孚股份,603938,2019-09-05,2019-09-12,6,0,1.5,20.5,6.873481405736118,3.8116907054314226,3.0617907003046954
786,芯能科技,603105,2019-09-05,2019-09-12,6,0,5.0,138.45,4.035586106210904,2.3350377987556996,1.700548307455205
57,英 力 特,000635,2019-09-05,2019-09-11,5,0,3.03,33.18,5.374032750892651,3.2875781754526585,2.086454575439992
842,珍宝岛,603567,2019-09-05,2019-09-11,5,0,8.49,21.08,5.199249972517609,3.7768041493615603,1.4224458231560484
379,世龙实业,002748,2019-09-05,2019-09-11,5,0,2.4,170.77,4.572547572522627,2.239730365283663,2.3328172072389632
340,朗姿股份,002612,2019-09-09,2019-09-16,5,0,4.35,19.75,5.652054178163254,3.8593138094852866,1.7927403686779673
623,新华锦,600735,2019-09-05,2019-09-11,5,0,3.76,23.92,5.527026114504923,3.6264438609918717,1.9005822535130512
33,湖南投资,000548,2019-09-05,2019-09-11,5,0,4.99,70.13,4.410506563083088,2.708700147122977,1.7018064159601118
505,紫江企业,600210,2019-09-05,2019-09-11,5,0,15.17,22.43,4.907624896180526,3.701430001393067,1.206194894787459
520,江苏舜天,600287,2019-09-05,2019-09-11,5,0,4.37,7.3,7.581120773498782,5.79157604989444,1.7895447236043416
116,众合科技,000925,2019-09-05,2019-09-11,5,0,5.5,69.42,4.357932672737262,2.715200536921425,1.6427321358158373
400,和科达,002816,2019-09-09,2019-09-16,5,0,1.0,10000.0,5.44180654857877,1.25,4.19180654857877
251,英威腾,002334,2019-09-05,2019-09-11,5,0,7.53,10000.0,2.7271962654147686,1.25,1.4771962654147688
110,浙商中拓,000906,2019-09-05,2019-09-11,5,0,6.75,6.75,7.560049158209093,6.029153808056745,1.5308953501523477
245,海峡股份,002320,2019-09-09,2019-09-16,5,0,9.91,22.39,5.061148918148832,3.7035553047692065,1.3575936133796251
440,明德生物,002932,2019-09-05,2019-09-11,5,0,0.67,31.27,9.940587388234501,3.3441955452288057,6.596391843005696
868,五洲新春,603667,2019-09-05,2019-09-11,5,0,2.92,18.6,6.060524999454049,3.9385183292323585,2.122006670221691
393,丰元股份,002805,2019-09-05,2019-09-11,5,0,1.45,54.99,6.005488868487442,2.873094739353185,3.132394129134257
