code,name,start_date,end_date,days,p_change,p1,p2,p3,totals,pe,outstanding,volume
002001,新 和 成,2020-04-17,0,1,2.175489,0,0,0,21.49,21.76,21.21,10994560.0
002004,华邦健康,2020-04-17,0,1,5.479451999999998,0,0,0,19.8,14.65,18.09,15727502.0
002007,华兰生物,2020-04-17,0,1,0.391107,0,0,0,14.03,38.18,12.04,7835693.0
002012,凯恩股份,2020-04-17,0,1,7.853403,0,0,0,4.68,54.2,4.66,9466000.0
002013,中航机电,2020-04-17,0,1,1.877347,0,0,0,36.09,34.14,36.08,9440576.0
002015,协鑫能科,2020-04-17,0,1,3.350084,0,0,0,13.52,12.58,4.01,3122400.0
002019,亿帆医药,2020-04-17,0,1,3.021978,0,0,0,12.37,19.44,8.1,9088600.0
002020,京新药业,2020-04-17,0,1,0.0,0,0,0,7.25,11.87,5.88,5175837.0
002022,科华生物,2020-04-17,0,1,8.746736,0,0,0,5.15,21.99,5.13,30015831.0
002023,海特高新,2020-04-17,0,1,-0.975293,0,0,0,7.57,140.41,6.59,5471200.0
002025,航天电器,2020-04-17,0,1,4.4776120000000015,0,0,0,4.29,29.42,4.29,1311604.0
002028,思源电气,2020-04-17,0,1,7.493261,0,0,0,7.6,19.34,5.87,12928160.0
002030,达安基因,2020-04-17,0,1,33.333333,0,0,0,7.97,84.0,7.6,82730388.0
002031,巨轮智能,2020-04-17,0,1,1.530612,0,0,0,21.99,37.27,18.93,6373600.0
002033,丽江旅游,2020-04-17,0,1,-5.205047,0,0,0,5.49,14.01,5.49,2649075.0
002034,旺能环境,2020-04-17,0,1,10.428571,0,0,0,4.17,15.16,2.69,1361242.0
002041,登海种业,2020-04-17,0,1,12.637363,0,0,0,8.8,604.65,8.72,48687361.0
002049,紫光国微,2020-04-17,0,1,-0.16787,0,0,0,6.07,64.77,6.06,7257556.0
002050,三花智控,2020-04-17,0,1,11.001164,0,0,0,27.66,35.39,24.19,19505964.0
002055,得润电子,2020-04-17,0,1,1.6548459999999998,0,0,0,4.8,84.67,4.3,4683955.0
002056,横店东磁,2020-04-17,0,1,4.536489,0,0,0,16.44,20.52,16.24,9009034.0
002059,云南旅游,2020-04-17,0,1,-1.734104,0,0,0,10.12,62.04,7.31,2613500.0
