,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
72,三利谱,002876,2019-08-29,2019-09-16,12,0,1.04,1379.97,5.639739211372469,1.5924227962075497,4.04731641516492
133,应流股份,603308,2019-08-30,2019-09-16,11,0,4.34,27.8,5.25684447286233,3.462496464191171,1.7943480086711585
93,海越能源,600387,2019-08-30,2019-09-16,11,0,4.74,3.95,10.115621913371818,8.380865472953268,1.7347564404185496
75,华夏航空,002928,2019-09-03,2019-09-16,9,0,6.01,21.64,5.336958868414957,3.744596762837478,1.592362105577479
66,国光股份,002749,2019-09-03,2019-09-16,9,0,3.72,14.09,6.260955858488715,4.351947217832989,1.909008640655726
91,华泰股份,600308,2019-09-03,2019-09-16,9,0,11.68,11.67,5.980588161492323,4.685724449949187,1.2948637115431356
136,亚士创能,603378,2019-09-03,2019-09-16,9,0,1.95,33.31,5.890943413774226,3.2839112728171584,2.607032140957067
130,金能科技,603113,2019-09-03,2019-09-16,9,0,6.76,9.02,6.7646123674821546,5.23447003709442,1.530142330387735
147,三孚股份,603938,2019-09-03,2019-09-16,9,0,1.5,20.5,6.873481405736118,3.8116907054314226,3.0617907003046954
1,TCL 集团,000100,2019-09-03,2019-09-16,9,0,135.5,10.43,5.676779464932317,4.910220022663493,0.7665594422688244
60,朗姿股份,002612,2019-09-03,2019-09-16,9,0,4.35,19.75,5.652054178163254,3.8593138094852866,1.7927403686779673
62,道明光学,002632,2019-09-03,2019-09-16,9,0,6.25,19.13,5.472113668562081,3.9010233296202497,1.5710903389418314
57,云图控股,002539,2019-09-03,2019-09-16,9,0,10.1,18.55,5.292183860082293,3.9421484543764764,1.3500354057058161
71,瀛通通讯,002861,2019-09-03,2019-09-16,9,0,1.23,59.62,6.343452334948301,2.8162794919151666,3.5271728430331346
20,潍柴重机,000880,2019-09-03,2019-09-16,9,0,2.76,53.8,5.0674443582357345,2.888867115348111,2.178577242887623
114,上工申贝,600843,2019-09-03,2019-09-16,9,0,5.49,29.37,5.050016653204863,3.4062174244057988,1.6437992287990644
104,祥源文化,600576,2019-09-03,2019-09-16,9,0,6.19,29.14,4.99043665619053,3.4141588847532773,1.5762777714372533
119,财通证券,601108,2019-09-03,2019-09-16,9,0,35.89,23.57,4.627566087659186,3.6433599937437533,0.9842060939154331
