,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
36,浙江广厦,600052,2019-09-11,0,0,10,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
0,国农科技,000004,2019-09-20,0,0,10,0.84,77.85,7.626296409144432,2.6437420854608757,4.982554323683556
48,重庆百货,600729,2019-09-12,0,0,10,4.07,8.37,7.259137683316971,5.418729868875604,1.8404078144413667
62,勘设股份,603458,2019-09-12,0,0,10,1.83,13.1,7.179454342606002,4.475188809952672,2.7042655326533303
66,大元泵业,603757,2019-09-09,0,0,10,1.64,15.76,7.065488521122391,4.175169353289439,2.890319167832952
68,豪能股份,603809,2019-09-19,0,0,10,2.09,15.64,6.69534272826038,4.18677452803478,2.5085682002255996
59,快克股份,603203,2019-09-09,0,0,10,1.57,22.03,6.694643887933134,3.722968002659391,2.971675885273743
41,凯乐科技,600260,2019-09-09,0,0,10,10.01,8.94,6.609345446573095,5.255758236391608,1.3535872101814876
32,瀛通通讯,002861,2019-09-17,0,0,10,1.23,59.62,6.343452334948301,2.8162794919151666,3.5271728430331346
33,名臣健康,002919,2019-09-17,0,0,10,1.22,78.21,6.190309096299218,2.640944172008827,3.5493649242903915
39,中青旅,600138,2019-09-19,0,0,10,7.24,11.72,6.173628388955817,4.677585222194762,1.496043166761055
63,金石资源,603505,2019-09-19,0,0,10,2.4,21.08,6.109621356600524,3.7768041493615603,2.3328172072389632
42,羚锐制药,600285,2019-09-16,0,0,10,5.86,12.94,6.103070003113775,4.496668648879784,1.6064013542339903
61,华懋科技,603306,2019-09-19,0,0,10,3.11,21.31,5.82551409000754,3.763406808263022,2.062107281744518
22,金河生物,002688,2019-09-10,0,0,10,6.35,15.0,5.813998977385119,4.251370768638012,1.5626282087471066
30,贝肯能源,002828,2019-09-17,0,0,10,2.03,34.53,5.79957323383753,3.2505598246520595,2.549013409185471
53,利群股份,601366,2019-09-17,0,0,10,8.61,14.06,5.771762198837036,4.355456389478671,1.4163058093583647
28,世嘉科技,002796,2019-09-06,0,0,10,1.68,54.48,5.7270476436746,2.8797910165346385,2.847256627139961
18,宝鼎科技,002552,2019-09-18,0,0,10,3.06,24.59,5.6723429418849385,3.5951604082805906,2.077182533604348
69,顾家家居,603816,2019-09-20,0,0,10,6.02,18.05,5.570827038427591,3.9793797891135614,1.5914472493140304
70,松炀资源,603863,2019-09-11,0,0,10,2.06,47.06,5.517746936034499,2.9892650896012363,2.528481846433263
24,良信电器,002706,2019-09-06,0,0,10,7.85,17.84,5.453277059067953,3.9955414550729227,1.4577356039950304
58,上海亚虹,603159,2019-09-19,0,0,10,1.4,178.99,5.428420697381805,2.2194318853397683,3.208988812042036
71,艾华集团,603989,2019-09-09,0,0,10,3.9,26.73,5.376190134214103,3.5038567963335554,1.8723333378805476
2,天夏智慧,000662,2019-09-11,0,0,10,10.93,18.99,5.230242921522072,3.9107566437143917,1.3194862778076797
16,富春环保,002479,2019-09-12,0,0,10,8.94,21.61,5.14639755851798,3.746287147856425,1.400110410661555
31,道恩股份,002838,2019-09-19,0,0,10,4.03,33.07,5.138399468027591,3.2906986144825954,1.847700853544995
21,安洁科技,002635,2019-09-19,0,0,10,6.89,24.71,5.110222236961136,3.5897033785068815,1.520518858454255
19,中京电子,002579,2019-09-19,0,0,10,3.72,37.55,5.084398220467717,3.175389579811991,1.909008640655726
