,name,code,start_date,end_date,days,p_change,totals,pe,rank
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,5.06176502057548
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,4.920395727545851
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,4.6656463074076155
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,4.510268668307914
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,4.501366406193638
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,4.421887898779298
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,4.395494189426073
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,4.2792762031116816
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,4.220997129550817
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,4.201679095916624
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,4.105200022602453
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,4.070894225606448
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,4.069650248621181
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,4.058637016307418
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,3.988039920753279
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,3.9746291037049772
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,3.9586943216516133
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,3.9524983961135365
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,3.9410242127374966
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,3.9354610355061634
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,3.9194932754684
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,3.8978857974588865
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,3.884164174931424
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,3.866517542186972
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,3.8165147234701315
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,3.8159642909965337
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,3.758845906528716
6,海大集团,002311,2019-09-03,0,0,10,15.81,38.71,3.74560505588673
8,沪电股份,002463,2019-09-03,0,0,10,17.25,38.92,3.7277733921052474
14,视源股份,002841,2019-09-03,0,0,10,6.56,49.75,3.7195177932377854
50,桃李面包,603866,2019-09-03,0,0,10,6.59,52.44,3.6791479239294165
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,3.67273446419955
28,宝信软件,600845,2019-09-03,0,0,10,11.41,46.61,3.648458770493918
2,华兰生物,002007,2019-09-03,0,0,10,14.03,45.11,3.6381717618945952
51,金域医学,603882,2019-09-03,0,0,10,4.58,66.3,3.623714872370721
20,白云机场,600004,2019-09-03,0,0,10,20.69,43.27,3.613646887555073
29,长江电力,600900,2019-08-29,0,0,10,220.0,35.12,3.5897521562725467
23,生益科技,600183,2019-09-03,0,0,10,22.76,44.09,3.5859025073381576
9,立讯精密,002475,2019-09-03,0,0,10,53.49,43.6,3.5031691574865897
16,美格智能,002881,2019-09-03,0,0,10,1.81,235.8,3.468357502412325
34,剑桥科技,603083,2019-08-21,0,0,10,1.67,343.37,3.400696288954769
32,广州酒家,603043,2019-09-03,0,0,10,4.04,107.31,3.385210367740719
41,海天味业,603288,2019-09-03,0,0,10,27.0,56.3,3.3802888843686407
19,鹏鼎控股,002938,2019-09-03,0,0,10,23.11,64.36,3.3077510724665213
24,恒瑞医药,600276,2019-09-03,0,0,10,44.23,73.38,3.151202403485866
36,济民制药,603222,2019-09-03,0,0,10,3.2,306.73,3.0287001712214314
11,中公教育,002607,2019-09-03,0,0,10,61.67,96.07,2.9630300384681525
7,广联达,002410,2019-09-03,0,0,10,11.27,227.09,2.7760656533193364
5,九鼎新材,002201,2019-09-03,0,0,10,3.32,808.56,2.7213086211696424
49,三棵树,603737,2019-09-03,0,0,10,1.86,10000.0,2.589343953736579
43,韦尔股份,603501,2019-09-03,0,0,10,8.64,1503.97,2.2810894822812418
26,中国软件,600536,2019-09-03,0,0,10,4.95,10000.0,2.1034415151951045
12,牧原股份,002714,2019-09-03,0,0,10,20.85,10000.0,1.806722410459688
