,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
40,鸿远电子,603267,2019-09-03,0,0,10,1.65,27.32,8.448499858728285,3.4807289909085415,1.4396667366373095
25,恒力石化,600346,2019-09-03,0,0,10,70.39,12.01,8.270894262599192,4.6315894463794205,0.4301755741960601
37,菲林格尔,603226,2019-09-03,0,0,10,1.51,47.8,7.811851081748784,2.9772043265962265,1.524162079597411
15,金溢科技,002869,2019-09-03,0,0,10,1.18,83.71,7.803613758830941,2.600405096819138,1.82148280196016
1,长春高新,000661,2019-08-30,0,0,10,1.7,41.16,7.781744821098424,3.0969812887935064,1.413287379514407
22,联美控股,600167,2019-09-03,0,0,10,22.88,16.34,7.682830536074608,4.12115519685156,0.544491110556056
17,科力尔,002892,2019-09-03,0,0,10,1.42,79.35,7.389111612579473,2.632206616305401,1.5887905132454156
45,珀莱雅,603605,2019-09-03,0,0,10,2.01,46.55,7.359453901897327,2.997746260815089,1.2815299422965922
31,中国国旅,601888,2019-09-03,0,0,10,19.52,20.21,7.259086108323353,3.8297556763219824,0.565738513104091
44,绝味食品,603517,2019-09-03,0,0,10,5.74,29.77,7.046302470185967,3.392639304118203,0.8090397917984216
33,博通集成,603068,2019-09-03,0,0,10,1.39,127.3,7.025883618133522,2.3754905584325905,1.6125493623206886
13,凯莱英,002821,2019-09-03,0,0,10,2.31,55.29,6.969594398920254,2.8691990842364534,1.189437932070964
38,景旺电子,603228,2019-09-03,0,0,10,6.02,32.42,6.886609486026733,3.3094763979454385,0.7957236246570152
48,家家悦,603708,2019-09-03,0,0,10,6.08,33.57,6.82864271547831,3.2766444544101296,0.7930057942110511
35,昭衍新药,603127,2019-09-03,0,0,10,1.61,120.09,6.771268593930614,2.4044162261083257,1.4621013160786465
18,深南电路,002916,2019-09-03,0,0,10,3.39,47.51,6.756499467489674,2.9818968498007004,0.9927322539042768
30,隆基股份,601012,2019-09-03,0,0,10,36.24,24.93,6.709864559984869,3.5798097280700687,0.4910844975363795
42,集友股份,603429,2019-09-03,0,0,10,2.66,62.03,6.6800748344804095,2.789241901093408,1.1086438963654786
52,益丰药房,603939,2019-09-03,0,0,10,3.79,47.12,6.675611476562441,2.9882764861247155,0.9471845493814478
39,大参林,603233,2019-09-02,0,0,10,5.2,40.02,6.669165087217411,3.120558890214541,0.838135431437072
0,汇顶科技,603160,2019-09-03,0,0,10,4.56,44.17,6.62327523222581,3.0392782967774745,0.8802149786909255
10,中顺洁柔,002511,2019-09-02,0,0,10,13.06,32.29,6.556727140855746,3.313303211548117,0.6277210011893796
21,上海机场,600009,2019-08-28,0,0,10,19.27,30.0,6.551011807169382,3.3849624626442276,0.5675359334693088
3,韵达股份,002120,2019-09-03,0,0,10,22.27,31.53,6.433859802594639,3.3361713681705254,0.5479928067608989
47,健友股份,603707,2019-09-03,0,0,10,7.18,42.74,6.405562584624061,3.065914993422516,0.7500492975740174
46,安图生物,603658,2019-09-03,0,0,10,4.2,56.8,6.37766736107799,2.8500611299486045,0.9087847765801116
4,中航光电,002179,2019-09-03,0,0,10,10.28,38.89,6.375039594188021,3.1449746318806047,0.6715400915895269
27,通策医疗,600763,2019-09-03,0,0,10,3.21,76.29,6.283033652395076,2.6560881900100592,1.0166462741894906
