,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
35,浙江广厦,600052,2019-09-11,0,0,5,8.72,1.58,26.579796540620336,25.168998884732144,1.4107976558881914
34,西麦食品,002956,2019-09-12,0,0,5,0.8,27.61,8.72988647041166,3.4696527356158344,5.2602337347958255
46,新奥股份,600803,2019-09-12,0,0,5,12.29,6.52,7.417228806213705,6.140638334345394,1.2765904718683112
44,重庆百货,600729,2019-09-12,0,0,5,4.07,8.37,7.259137683316971,5.418729868875604,1.8404078144413667
51,郑煤机,601717,2019-09-10,0,0,5,17.32,6.7,7.21844655587545,6.052720629721003,1.1657259261544468
62,勘设股份,603458,2019-09-12,0,0,5,1.83,13.1,7.179454342606002,4.475188809952672,2.7042655326533303
65,大元泵业,603757,2019-09-09,0,0,5,1.64,15.76,7.065488521122391,4.175169353289439,2.890319167832952
57,快克股份,603203,2019-09-09,0,0,5,1.57,22.03,6.694643887933134,3.722968002659391,2.971675885273743
41,凯乐科技,600260,2019-09-09,0,0,5,10.01,8.94,6.609345446573095,5.255758236391608,1.3535872101814876
56,皇马科技,603181,2019-09-10,0,0,5,2.8,17.84,6.1593895799416405,3.9955414550729227,2.1638481248687182
36,同济堂,600090,2019-09-10,0,0,5,14.4,10.87,6.048065498438982,4.8251857211896025,1.2228797772493794
61,莱克电气,603355,2019-09-06,0,0,5,4.01,17.77,5.852396979787306,4.001000481201118,1.8513964985861877
23,金河生物,002688,2019-09-10,0,0,5,6.35,15.0,5.813998977385119,4.251370768638012,1.5626282087471066
29,世嘉科技,002796,2019-09-06,0,0,5,1.68,54.48,5.7270476436746,2.8797910165346385,2.847256627139961
58,格尔软件,603232,2019-09-10,0,0,5,1.21,209.5,5.7260972427309795,2.154073068394759,3.572024174336221
50,博威合金,601137,2019-09-06,0,0,5,6.85,16.85,5.5997563903229555,4.076308810047354,1.5234475802756022
32,东方中科,002819,2019-09-12,0,0,5,1.57,81.08,5.590966581952929,2.6192906966791862,2.971675885273743
8,创新医疗,002173,2019-09-12,0,0,5,4.55,20.39,5.5804012270582035,3.818492609969048,1.7619086170891558
66,松炀资源,603863,2019-09-11,0,0,5,2.06,47.06,5.517746936034499,2.9892650896012363,2.528481846433263
21,瑞康医药,002589,2019-09-06,0,0,5,15.05,14.65,5.497471080942503,4.288761911701869,1.2087091692406342
25,良信电器,002706,2019-09-06,0,0,5,7.85,17.84,5.453277059067953,3.9955414550729227,1.4577356039950304
47,华东电脑,600850,2019-09-10,0,0,5,4.26,24.78,5.393990670320098,3.5865399398761757,1.8074507304439222
69,艾华集团,603989,2019-09-09,0,0,5,3.9,26.73,5.376190134214103,3.5038567963335554,1.8723333378805476
38,金发科技,600143,2019-09-11,0,0,5,27.17,14.58,5.3428846374127765,4.296427646621622,1.0464569907911552
67,新智认知,603869,2019-09-09,0,0,5,5.05,24.35,5.300528127595758,3.6062053591321876,1.6943227684635698
59,应流股份,603308,2019-09-12,0,0,5,4.34,27.8,5.25684447286233,3.462496464191171,1.7943480086711585
1,天夏智慧,000662,2019-09-11,0,0,5,10.93,18.99,5.230242921522072,3.9107566437143917,1.3194862778076797
48,爱柯迪,600933,2019-09-06,0,0,5,8.57,21.63,5.163496830619977,3.7451597945086936,1.4183370361112828
16,富春环保,002479,2019-09-12,0,0,5,8.94,21.61,5.14639755851798,3.746287147856425,1.400110410661555
55,海量数据,603138,2019-09-12,0,0,5,2.11,88.43,5.064202700188699,2.5685816105924353,2.4956210895962636
68,元祖股份,603886,2019-09-10,0,0,5,2.4,71.47,5.029508791839534,2.696691584600571,2.3328172072389632
70,麦迪科技,603990,2019-09-09,0,0,5,1.13,10000.0,5.022163595675871,1.25,3.7721635956758712
40,圆通速递,600233,2019-09-10,0,0,5,28.36,18.23,5.002140041977808,3.965777973631388,1.0363620683464194
28,真视通,002771,2019-09-06,0,0,5,2.1,104.5,4.978393353013299,2.4763308699237423,2.5020624830895573
37,太极集团,600129,2019-09-10,0,0,5,5.57,31.87,4.961189011010314,3.3258345443120025,1.6353544666983106
18,涪陵榨菜,002507,2019-09-10,0,0,5,7.89,27.97,4.911553634567776,3.4561595613617735,1.455394073206002
53,晶方科技,603005,2019-09-10,0,0,5,2.3,98.35,4.8932838653375565,2.509064794131051,2.384219071206505
12,博深股份,002282,2019-09-10,0,0,5,4.38,44.46,4.821993441365321,3.034036810953283,1.7879566304120378
24,博实股份,002698,2019-09-10,0,0,5,10.23,27.6,4.815024294030991,3.4700315670393507,1.3449927269916397
5,联创电子,002036,2019-09-10,0,0,5,7.15,32.31,4.814860253658129,3.3127128925319473,1.5021473611261813
31,恩捷股份,002812,2019-09-09,0,0,5,8.06,31.02,4.797665830914658,3.3520112012570342,1.445654629657624
64,至纯科技,603690,2019-09-09,0,0,5,2.58,126.52,4.628881347444976,2.3785068418486146,2.2503745055963615
6,生 意 宝,002095,2019-09-09,0,0,5,2.53,143.59,4.59000387009119,2.3179008470718876,2.272103023019302
30,恒久科技,002808,2019-09-11,0,0,5,2.69,128.21,4.577383555877352,2.372004389516587,2.205379166360765
7,天津普林,002134,2019-09-11,0,0,5,2.46,161.71,4.567735135276111,2.2637372752757345,2.303997860000376
9,纳思达,002180,2019-09-09,0,0,5,10.63,35.18,4.563626665442024,3.233533898516458,1.3300927669255664
33,德赛西威,002920,2019-09-06,0,0,5,5.5,60.14,4.453041707839633,2.810309572023796,1.6427321358158373
19,海联金汇,002537,2019-09-12,0,0,5,12.44,39.83,4.396901168480651,3.1245892992774027,1.2723118692032485
52,南京证券,601990,2019-09-09,0,0,5,32.99,32.06,4.322386829898015,3.3201335491712882,1.0022532807267273
60,超讯通信,603322,2019-09-11,0,0,5,1.57,10000.0,4.2216758852737435,1.25,2.971675885273743
49,四创电子,600990,2019-09-10,0,0,5,1.59,10000.0,4.197598859192818,1.25,2.9475988591928184
26,埃斯顿,002747,2019-09-10,0,0,5,8.35,67.45,4.1635503212997405,2.7337612539277902,1.4297890673719502
63,惠发食品,603536,2019-09-12,0,0,5,1.68,10000.0,4.097256627139961,1.25,2.847256627139961
4,东信和平,002017,2019-09-11,0,0,5,4.46,146.86,4.0829197947543765,2.3074400613212642,1.7754797334331127
