,name,code,start_date,end_date,days,p_change
326,应流股份,603308,2019-08-27,2019-09-11,12,0
287,恒立液压,601100,2019-08-27,2019-09-11,12,0
184,浦发银行,600000,2019-08-30,2019-09-11,9,0
264,四川长虹,600839,2019-08-30,2019-09-11,9,0
185,民生银行,600016,2019-09-02,2019-09-11,8,0
245,长电科技,600584,2019-09-02,2019-09-11,8,0
84,罗平锌电,002114,2019-09-02,2019-09-11,8,0
255,新华锦,600735,2019-09-02,2019-09-11,8,0
78,景兴纸业,002067,2019-09-02,2019-09-11,8,0
263,上海物贸,600822,2019-09-02,2019-09-11,8,0
265,上工申贝,600843,2019-09-02,2019-09-11,8,0
274,杭州银行,600926,2019-09-02,2019-09-11,8,0
141,朗姿股份,002612,2019-09-02,2019-09-11,8,0
88,东南网架,002135,2019-09-02,2019-09-11,8,0
281,航民股份,600987,2019-09-02,2019-09-11,8,0
286,太平洋,601099,2019-09-02,2019-09-11,8,0
63,众泰汽车,000980,2019-09-02,2019-09-11,8,0
288,财通证券,601108,2019-09-02,2019-09-11,8,0
291,天风证券,601162,2019-09-02,2019-09-11,8,0
293,国泰君安,601211,2019-09-02,2019-09-11,8,0
57,众合科技,000925,2019-09-02,2019-09-11,8,0
295,环旭电子,601231,2019-09-02,2019-09-11,8,0
87,天津普林,002134,2019-09-02,2019-09-11,8,0
240,新赛股份,600540,2019-09-02,2019-09-11,8,0
47,金宇车城,000803,2019-09-02,2019-09-11,8,0
234,涪陵电力,600452,2019-09-02,2019-09-11,8,0
138,群兴玩具,002575,2019-09-02,2019-09-11,8,0
144,安洁科技,002635,2019-09-02,2019-09-11,8,0
146,雪人股份,002639,2019-09-02,2019-09-11,8,0
151,鞍重股份,002667,2019-09-02,2019-09-11,8,0
152,西部证券,002673,2019-09-02,2019-09-11,8,0
168,丰元股份,002805,2019-09-02,2019-09-11,8,0
126,山西证券,002500,2019-09-02,2019-09-11,8,0
170,和科达,002816,2019-09-02,2019-09-11,8,0
176,三利谱,002876,2019-09-02,2019-09-11,8,0
180,明德生物,002932,2019-09-02,2019-09-11,8,0
190,凤凰光学,600071,2019-09-02,2019-09-11,8,0
199,东睦股份,600114,2019-09-02,2019-09-11,8,0
114,中远海科,002401,2019-09-02,2019-09-11,8,0
209,S佳通,600182,2019-09-02,2019-09-11,8,0
210,长城电工,600192,2019-09-02,2019-09-11,8,0
103,万马股份,002276,2019-09-02,2019-09-11,8,0
221,华泰股份,600308,2019-09-02,2019-09-11,8,0
231,江淮汽车,600418,2019-09-02,2019-09-11,8,0
233,三元股份,600429,2019-09-02,2019-09-11,8,0
48,创维数字,000810,2019-09-02,2019-09-11,8,0
277,岳阳林纸,600963,2019-09-02,2019-09-11,8,0
297,东吴证券,601555,2019-09-02,2019-09-11,8,0
42,普洛药业,000739,2019-09-02,2019-09-11,8,0
15,中原环保,000544,2019-09-02,2019-09-11,8,0
304,方正证券,601901,2019-09-02,2019-09-11,8,0
315,汇嘉时代,603101,2019-09-02,2019-09-11,8,0
316,芯能科技,603105,2019-09-02,2019-09-11,8,0
347,塞力斯,603716,2019-09-02,2019-09-11,8,0
37,恒天海龙,000677,2019-09-02,2019-09-11,8,0
343,五洲新春,603667,2019-09-02,2019-09-11,8,0
352,康普顿,603798,2019-09-02,2019-09-11,8,0
312,国检集团,603060,2019-09-02,2019-09-11,8,0
40,锦龙股份,000712,2019-09-02,2019-09-11,8,0
300,旗滨集团,601636,2019-09-02,2019-09-11,8,0
361,武进不锈,603878,2019-09-02,2019-09-11,8,0
362,春秋电子,603890,2019-09-02,2019-09-11,8,0
2,TCL 集团,000100,2019-09-02,2019-09-11,8,0
311,台华新材,603055,2019-09-02,2019-09-11,8,0
213,民丰特纸,600235,2019-09-04,2019-09-11,6,0
211,紫江企业,600210,2019-09-04,2019-09-11,6,0
101,华明装备,002270,2019-09-04,2019-09-11,6,0
215,嘉化能源,600273,2019-09-04,2019-09-11,6,0
220,鄂尔多斯,600295,2019-09-04,2019-09-11,6,0
107,海峡股份,002320,2019-09-04,2019-09-11,6,0
19,海南海药,000566,2019-09-04,2019-09-11,6,0
