,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
407,和科达,002816,2019-09-02,2019-09-16,10,0,1.0,10000.0,5.44180654857877,1.25,4.19180654857877
175,东南网架,002135,2019-09-02,2019-09-16,10,0,10.34,14.16,5.684614419211175,4.343809938708361,1.3408044805028136
340,朗姿股份,002612,2019-09-02,2019-09-16,10,0,4.35,19.75,5.652054178163254,3.8593138094852866,1.7927403686779673
301,山西证券,002500,2019-09-02,2019-09-16,10,0,28.29,25.07,4.610525951461003,3.5735871866650823,1.0369387647959205
772,国检集团,603060,2019-09-02,2019-09-16,10,0,3.08,36.03,5.28309306213491,3.211996396180071,2.0710966659548387
497,S佳通,600182,2019-09-02,2019-09-16,10,0,3.4,71.78,4.676906824852495,2.6939605038081393,1.982946321044356
39,中原环保,000544,2019-09-02,2019-09-16,10,0,9.75,18.11,5.338959820841776,3.974820465310509,1.3641393555312669
741,旗滨集团,601636,2019-09-02,2019-09-16,10,0,26.88,8.76,6.354031626882447,5.305016675554228,1.0490149513282199
681,上工申贝,600843,2019-09-02,2019-09-16,10,0,5.49,29.37,5.050016653204863,3.4062174244057988,1.6437992287990644
560,江淮汽车,600418,2019-09-02,2019-09-16,10,0,18.93,36.85,4.332030430654804,3.191956286103336,1.1400741445514682
478,东睦股份,600114,2019-09-02,2019-09-16,10,0,6.46,32.97,4.847124071170154,3.293549566329547,1.553574504840607
530,华泰股份,600308,2019-09-02,2019-09-16,10,0,11.68,11.67,5.980588161492323,4.685724449949187,1.2948637115431356
240,海峡股份,002320,2019-09-04,2019-09-16,8,0,9.91,22.39,5.061148918148832,3.7035553047692065,1.3575936133796251
249,高乐股份,002348,2019-09-04,2019-09-16,8,0,9.47,298.34,3.3964537706364153,2.020437545755803,1.376016224880612
474,青山纸业,600103,2019-09-04,2019-09-16,8,0,23.06,26.2,4.612312044147384,3.525344036983456,1.0869680071639276
56,英 力 特,000635,2019-09-04,2019-09-16,8,0,3.03,33.18,5.374032750892651,3.2875781754526585,2.086454575439992
391,中坚科技,002779,2019-09-04,2019-09-16,8,0,1.32,122.47,5.740789166096512,2.3946019337147373,3.3461872323817743
128,思源电气,002028,2019-09-04,2019-09-16,8,0,7.6,20.25,5.3000630874190096,3.827238375380869,1.4728247120381408
383,世龙实业,002748,2019-09-04,2019-09-16,8,0,2.4,170.77,4.572547572522627,2.239730365283663,2.3328172072389632
73,长江证券,000783,2019-09-04,2019-09-16,8,0,55.3,17.68,4.9090362699434245,4.008073026454354,0.900963243489071
307,齐峰新材,002521,2019-09-04,2019-09-16,8,0,4.95,28.92,5.128732096962564,3.421849066572354,1.706883030390209
89,云南铜业,000878,2019-09-04,2019-09-16,8,0,17.0,22.51,4.868452955784983,3.6971980182161444,1.1712549375688392
141,威 尔 泰,002058,2019-09-05,2019-09-16,7,0,1.43,10000.0,4.4122688594376305,1.25,3.1622688594376305
732,广汽集团,601238,2019-09-05,2019-09-16,7,0,102.38,10.81,5.640478226571523,4.8364052366315144,0.8040729899400088
29,国新健康,000503,2019-09-05,2019-09-16,7,0,8.99,10000.0,2.6477403256070584,1.25,1.3977403256070584
