,name,code,start_date,end_date,days,p_change
0,深中华A,000017,2019-08-22,2019-08-26,40,2019-08-15
6,拓日新能,002218,2019-08-22,2019-08-26,40,2019-08-15
3,易尚展示,002751,2019-08-20,2019-08-22,40,2019-08-09
7,*ST斯太,000760,2019-08-14,2019-08-19,40,2019-08-06
8,永冠新材,603681,2019-08-07,2019-08-09,40,2019-08-02
10,奥马电器,002668,2019-08-06,2019-08-15,40,2019-08-02
2,四方科技,603339,2019-08-01,2019-08-12,40,2019-07-22
5,环旭电子,601231,2019-07-31,2019-08-08,40,2019-07-22
1,东尼电子,603595,2019-07-30,2019-08-06,40,2019-07-22
9,三安光电,600703,2019-07-29,2019-08-06,40,2019-07-22
12,双塔食品,002481,2019-07-29,2019-08-02,40,2019-07-22
4,英维克,002837,2019-07-25,2019-08-06,40,2019-07-22
11,兄弟科技,002562,2019-07-10,2019-07-22,40,2019-07-04
