,name,code,start_date,end_date,days,p_change,totals,pe,rank,rankPe,ranktotals
8,奥马电器,002668,2019-08-06,2019-08-15,40,2019-08-02,10.84,10.03,6.3161234268508215,4.993503786037161,1.3226196408136606
14,永冠新材,603681,2019-08-07,2019-08-09,40,2019-08-02,1.67,28.88,6.281062661479847,3.423257307357817,2.85780535412203
10,英维克,002837,2019-07-25,2019-08-06,40,2019-07-22,2.15,39.5,5.602139124411744,3.1316604631791214,2.4704786612326224
9,易尚展示,002751,2019-08-20,2019-08-22,40,2019-08-09,1.55,89.45,5.558492093025504,2.5620262127857787,2.9964658802397253
11,三安光电,600703,2019-07-29,2019-08-06,40,2019-07-22,40.78,24.99,4.535188409412673,3.5771360040241746,0.958052405388499
1,深科技,000021,2019-08-26,2019-09-02,40,2019-08-09,14.71,38.47,4.3703331226830375,3.154330967790897,1.2160021548921407
4,拓日新能,002218,2019-08-22,2019-08-26,40,2019-08-15,12.36,43.88,4.319156383389358,3.044572630564025,1.274583752825333
12,环旭电子,601231,2019-07-31,2019-08-08,40,2019-07-22,21.76,36.03,4.314058265596257,3.211996396180071,1.102061869416186
6,双塔食品,002481,2019-07-29,2019-08-02,40,2019-07-22,12.43,57.55,4.113430538955245,2.8408359265262777,1.2725946124289675
13,东尼电子,603595,2019-07-30,2019-08-06,40,2019-07-22,2.0,10000.0,3.8201944178769374,1.25,2.5701944178769374
7,大康农业,002505,2019-08-28,2019-09-04,40,2019-08-22,54.85,167.72,3.15001614578558,2.247610376207036,0.9024057695785439
0,深中华A,000017,2019-08-22,2019-08-26,40,2019-08-15,5.51,10000.0,2.8916683620068095,1.25,1.6416683620068095
5,赛象科技,002337,2019-08-27,2019-09-02,40,2019-08-15,5.89,10000.0,2.853545053896092,1.25,1.603545053896092
2,*ST斯太,000760,2019-08-14,2019-08-19,40,2019-08-06,7.72,10000.0,2.715482155971489,1.25,1.465482155971489
3,科陆电子,002121,2019-08-23,2019-09-02,40,2019-08-15,14.08,10000.0,2.4802211884079535,1.25,1.2302211884079537
