code,name,cname,category,price,diff,chg,preclose,open,high,low,amplitude,volume,mktcap,pe,market,category_id
AAPL,"Apple, Inc.",苹果公司,计算机,300.35,6.7,2.28,293.65,296.24,300.6,295.19,1.84%,33911864,1352703608666,25.17602669,NASDAQ,5.0
MSFT,Microsoft Corp.,微软公司,软件,160.62,2.92,1.85,157.7,158.78,160.73,158.33,1.52%,22634546,1222161824252,29.96641625,NASDAQ,14.0
GOOGL,"Alphabet, Inc.",谷歌A类股,媒体内容,1368.68,29.29,2.19,1339.39,1348.41,1368.68,1346.49,1.66%,1364265,938005727695,29.13324962,NASDAQ,702.0
GOOG,"Alphabet, Inc.",谷歌,互联网,1367.37,30.35,2.27,1337.02,1341.55,1368.14,1341.55,1.99%,1406731,936845481523,29.10536416,NASDAQ,41.0
AMZN,"Amazon.com, Inc.",亚马逊公司,互联网,1898.01,50.17,2.72,1847.84,1875.0,1898.01,1864.15,1.83%,4035910,930614937591,82.27178305,NASDAQ,41.0
FB,"Facebook, Inc.",Facebook,媒体内容,209.78,4.53,2.21,205.25,206.75,209.79,206.27,1.71%,12090707,596214668123,33.2984115,NASDAQ,702.0
BABA,Alibaba Group Holding Ltd.,阿里巴巴,,219.77,7.67,3.62,212.1,216.6,219.98,216.54,1.62%,15882903,589233285331,25.79460005,NYSE,
BRK.B,"Berkshire Hathaway, Inc.",伯克希尔-哈撒韦B,保险,228.39,1.89,0.83,226.5,227.51,228.39,226.71,0.74%,3767253,564795213623,20.78162003,NYSE,25.0
JPM,JPMorgan Chase & Co.,摩根大通公司,,141.09,1.69,1.21,139.4,139.79,141.1,139.26,1.32%,10811019,461208364014,13.88681087,NYSE,695.0
V,"Visa, Inc.",维萨卡公司,,191.12,3.22,1.71,187.9,189.0,191.14,188.72,1.29%,8734203,413840714569,35.92480995,NYSE,726.0
JNJ,Johnson & Johnson,强生公司,制药,145.97,0.1,0.07,145.87,145.87,146.02,145.08,0.64%,5634469,390038231802,27.48964271,NYSE,10.0
VXUS,Vanguard Total International Stock Index Fund,领航 国际股票 ETF,股权,56.31,0.62,1.11,55.69,56.17,56.34,56.08,0.46%,2017952,381258984504,,NASDAQ,145.0
WMT,"Walmart, Inc.",沃尔玛公司,零售,118.94,0.1,0.08,118.84,118.86,119.89,118.7,1.00%,6659655,350589300800,23.64612276,NYSE,52.0
BAC,Bank of America Corp.,美国银行公司,银行,35.64,0.42,1.19,35.22,35.35,35.66,35.29,1.05%,37643855,343291220429,13.05494474,NYSE,61.0
MA,"Mastercard, Inc.",万事达卡公司,商业服务,303.39,4.8,1.61,298.59,300.46,303.53,299.5,1.35%,3273605,311501568970,44.81388708,NYSE,16.0
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd.",台湾积体电路制造公司,半导体,60.04,1.94,3.34,58.1,59.6,60.12,59.6,0.90%,8377256,310957112212,29.28780601,NYSE,12.0
PG,Procter & Gamble Co.,宝洁公司,,123.41,-1.49,-1.19,124.9,124.5,124.73,122.94,1.43%,7647890,310942852016,76.65217551,NYSE,761.0
XOM,Exxon Mobil Corp.,埃克森美孚公司,,70.9,1.12,1.61,69.78,70.24,71.02,70.24,1.12%,12406912,299141245568,20.67055398,NYSE,710.0
T,"AT&T, Inc.",美国电话电报公司,电信,38.86,-0.22,-0.56,39.08,39.16,39.22,38.71,1.31%,30256306,285242394409,17.34821448,NYSE,30.0
UNH,"UnitedHealth Group, Inc.",美国联合健康集团,卫生保健设施,292.5,-1.48,-0.5,293.98,293.98,295.7,289.79,2.01%,2544306,280193234876,20.92274747,NYSE,692.0
INTC,Intel Corp.,英特尔公司,半导体,60.84,0.99,1.65,59.85,60.24,60.97,60.22,1.25%,17713404,273147787548,14.08333281,NASDAQ,12.0
HD,"The Home Depot, Inc.",家得宝公司,零售,219.66,1.28,0.59,218.38,219.08,219.76,217.84,0.88%,3936097,252163844045,21.74851439,NYSE,52.0
VZ,"Verizon Communications, Inc.",威讯通信公司,,61.05,-0.35,-0.57,61.4,61.38,61.45,60.81,1.04%,11021236,251901278278,15.69408678,NYSE,697.0
